numprocesso;ano;modalidade;numcontrato;anocontrato;orgao
53;2023;Concorrência Pública;603;2024;SESP - Secretaria de Estado da Segurança Pública
54;2023;Concorrência Pública;5497;2023;UNIOESTE FBELT - Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão
56;2023;Concorrência Pública;2942;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
56;2023;Concorrência Pública;2942;2024;SEDEF - Secretaria de Estado do Desenvolvimento Social e Família
58;2023;Concorrência Pública;5679;2023;UNIOESTE MCROND - Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon
65;2023;Concorrência Pública;1629;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
66;2023;Concorrência Pública;2710;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
67;2023;Concorrência Pública;2912;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
69;2023;Concorrência Pública;863;2025;DER - Departamento de Estradas de Rodagem do Estado do Paraná
72;2023;Concorrência Pública;2176;2024;SECID - Secretaria de Estado das Cidades (Antigo SEDU)
72;2023;Concorrência Pública;2176;2024;SESP - Secretaria de Estado da Segurança Pública
74;2023;Concorrência Pública;3739;2024;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
75;2023;Concorrência Pública;2565;2024;IAT - Instituto Água e Terra (Antigo IAP)
77;2023;Concorrência Pública;3124;2024;IAT - Instituto Água e Terra (Antigo IAP)
77;2023;Concorrência Pública;3492;2024;IAT - Instituto Água e Terra (Antigo IAP)
86;2023;Concorrência Pública;4477;2024;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
87;2023;Concorrência Pública;142;2024;UNICENTRO - Universidade Estadual do Centro-Oeste
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3172;2024;CBMPR - Corpo de Bombeiros Militar do Paraná (Antigo PMPR-CCB)
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3172;2024;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3172;2024;DPC - Departamento de Polícia Civil - SESP
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3172;2024;PCP-SESP - Polícia Científica do Paraná - SESP (Antigo IC-SESP)
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3172;2024;PMPR-CGPM - Comando Geral da Polícia Militar - SESP
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3172;2024;SESP - Secretaria de Estado da Segurança Pública
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3176;2024;DEPPEN - Departamento de Polícia Penal - SESP (Antigo DEPEN)
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3176;2024;DPC - Departamento de Polícia Civil - SESP
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3176;2024;PMPR-CGPM - Comando Geral da Polícia Militar - SESP
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);3176;2024;SESP - Secretaria de Estado da Segurança Pública
1;2023;Contratação Direta - Inexigibilidade (Lei Federal 14.133/2021);1496;2025;PMPR-CGPM - Comando Geral da Polícia Militar - SESP
19;2023;Convite;1612;2024;UEL - Universidade Estadual de Londrina
25;2023;Credenciamento;6677;2023;FA - Fundação Araucária
8;2023;Leilão;2892;2024;DETRAN - Departamento de Trânsito do Estado do Paraná
8;2023;Leilão;2948;2024;DETRAN - Departamento de Trânsito do Estado do Paraná
8;2023;Leilão;2949;2024;DETRAN - Departamento de Trânsito do Estado do Paraná
2;2023;Licitação Eletrônica - Estatal;5969;2023;CELEPAR - Companhia de Tecnologia da Informação e Comunicação do Paraná
3;2023;Licitação Eletrônica - Estatal;3546;2023;APPA - Administração dos Portos de Paranaguá e Antonina
4;2023;Licitação Eletrônica - Estatal;3632;2023;APPA - Administração dos Portos de Paranaguá e Antonina
8;2023;Licitação Eletrônica - Estatal;1209;2024;APPA - Administração dos Portos de Paranaguá e Antonina
9;2023;Licitação Eletrônica - Estatal;5682;2023;APPA - Administração dos Portos de Paranaguá e Antonina
10;2023;Licitação Eletrônica - Estatal;232;2024;APPA - Administração dos Portos de Paranaguá e Antonina
16;2023;Licitação Eletrônica - Estatal;1453;2024;APPA - Administração dos Portos de Paranaguá e Antonina
17;2023;Licitação Eletrônica - Estatal;5080;2024;APPA - Administração dos Portos de Paranaguá e Antonina
1396;2023;Licitação Eletrônica - Estatal;744;2024;CELEPAR - Companhia de Tecnologia da Informação e Comunicação do Paraná
1;2023;Licitação Presencial - Estatal;1790;2024;APPA - Administração dos Portos de Paranaguá e Antonina
1;2023;Pregão Eletrônico;893;2023;PRPREV - Serviço Social Autônomo PARANAPREVIDENCIA
2;2023;Pregão Eletrônico;1757;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
2;2023;Pregão Eletrônico;1758;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
2;2023;Pregão Eletrônico;1765;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
2;2023;Pregão Eletrônico;1767;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
3;2023;Pregão Eletrônico;949;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
4;2023;Pregão Eletrônico;2276;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
4;2023;Pregão Eletrônico;2281;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
5;2023;Pregão Eletrônico;1509;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
6;2023;Pregão Eletrônico;804;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
7;2023;Pregão Eletrônico;586;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
8;2023;Pregão Eletrônico;1716;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
9;2023;Pregão Eletrônico;889;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
12;2023;Pregão Eletrônico;1570;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
13;2023;Pregão Eletrônico;1412;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
14;2023;Pregão Eletrônico;2220;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
16;2023;Pregão Eletrônico;1186;2023;APPA - Administração dos Portos de Paranaguá e Antonina
17;2023;Pregão Eletrônico;1987;2023;PRPREV - Serviço Social Autônomo PARANAPREVIDENCIA
18;2023;Pregão Eletrônico;2095;2023;APPA - Administração dos Portos de Paranaguá e Antonina
22;2023;Pregão Eletrônico;6521;2023;UEPG - Universidade Estadual de Ponta Grossa
24;2023;Pregão Eletrônico;5812;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
25;2023;Pregão Eletrônico;4145;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
26;2023;Pregão Eletrônico;5054;2024;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
27;2023;Pregão Eletrônico;3232;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
27;2023;Pregão Eletrônico;3236;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
27;2023;Pregão Eletrônico;7376;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
28;2023;Pregão Eletrônico;5577;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
32;2023;Pregão Eletrônico;1820;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
33;2023;Pregão Eletrônico;1175;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
33;2023;Pregão Eletrônico;1176;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
33;2023;Pregão Eletrônico;1178;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
33;2023;Pregão Eletrônico;1179;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
33;2023;Pregão Eletrônico;1180;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
33;2023;Pregão Eletrônico;1182;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
35;2023;Pregão Eletrônico;3256;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
36;2023;Pregão Eletrônico;923;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
38;2023;Pregão Eletrônico;2736;2023;LOTTOPAR - Loteria do Estado do Paraná
38;2023;Pregão Eletrônico;3891;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
38;2023;Pregão Eletrônico;3906;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
38;2023;Pregão Eletrônico;231;2024;DER - Departamento de Estradas de Rodagem do Estado do Paraná
39;2023;Pregão Eletrônico;1125;2023;UNIOESTE HUOP - Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná
39;2023;Pregão Eletrônico;7361;2023;UEL - Universidade Estadual de Londrina
40;2023;Pregão Eletrônico;1346;2023;UNIOESTE HUOP - Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná
41;2023;Pregão Eletrônico;3612;2023;UNIOESTE HUOP - Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná
41;2023;Pregão Eletrônico;3614;2023;UNIOESTE HUOP - Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná
41;2023;Pregão Eletrônico;3615;2023;UNIOESTE HUOP - Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná
42;2023;Pregão Eletrônico;1777;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
43;2023;Pregão Eletrônico;2117;2023;FUNEAS - Fundação Estatal de Atenção em Saúde do Estado do Paraná
43;2023;Pregão Eletrônico;4280;2023;DETRAN - Departamento de Trânsito do Estado do Paraná
45;2023;Pregão Eletrônico;892;2023;PRPREV - Serviço Social Autônomo PARANAPREVIDENCIA
45;2023;Pregão Eletrônico;901;2023;PRPREV - Serviço Social Autônomo PARANAPREVIDENCIA
