orgao;numprocesso;ano;modalidade;lote;classeitem;numeroitem;item;quantidade;valorunitario
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;104;2023;Pregão Eletrônico (Lei Federal 14.133/2021);20;7905;1919;Saco plástico de lixo, USO: Coleta de resíduos domiciliares, COR: Preto, CAPACIDADE: 50 litros (10kg), ESPESSURA MÍNIMA: 0,06mm, MATÉRIA-PRIMA: Confeccionado com resinas termoplásticas, virgens ou recicladas, com o emprego de pigmentos e aditivos compatíveis que não interfiram nas características de resistência e opacidade, com solda contínua, homogênea e uniforme, EMBALAGEM: Pacote com 50 unidades, constando marca, fabricante, quantidade, dimensão, tipo de resíduo, capacidade nominal em litros e kg, PESO MÍNIMO DO PACOTE: 1,400kg, CARACTERÍSTICAS ADICIONAIS: Lote de cor uniforme, UNIDADE DE FORNECIMENTO: Pacote, UNID. DE MEDIDA: Unitário;54.00;10.9900
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;104;2023;Pregão Eletrônico (Lei Federal 14.133/2021);20;7905;76;Saco plástico de lixo, USO: Coleta seletiva (papel/papelão), COR: Azul, CAPACIDADE: 50 litros (10kg), ESPESSURA MÍNIMA: 0,06mm, MATÉRIA-PRIMA: Confeccionado com resinas termoplásticas, virgens ou recicladas, com o emprego de pigmentos e aditivos compatíveis que não interfiram nas características de resistência e opacidade, com solda contínua, homogênea e uniforme, EMBALAGEM: Pacote com 50 unidades, constando marca, fabricante, quantidade, dimensão, tipo de resíduo, capacidade nominal em litros e kg, PESO MÍNIMO DO PACOTE: 1,400kg, CARACTERÍSTICAS ADICIONAIS: Lote de cor uniforme, UNIDADE DE FORNECIMENTO: Pacote, UNID. DE MEDIDA: Unitário;54.00;13.0000
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;159;2023;Pregão Eletrônico (Lei Federal 14.133/2021);23;8907;1577;Adoçante, TIPO: Dietético, ASPECTO: Pó, COMPOSIÇÃO: A base de edulcorante artificial sucralose, CARACTERÍSTICAS ADICIONAIS: Isento de sujidades, substâncias estranhas a sua natureza e não conter glúten, EMBALAGEM: Caixa com no mínimo 30g de peso líquido, contendo 50 sachês, UNID. DE MEDIDA: Unitário;2070.00;6.6600
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;179;2023;Pregão Eletrônico (Lei Federal 14.133/2021);12;7303;85161;Garfo, USO: Para refeição, MATERIAL: Poliestireno resistente, COR: Branco, DIMENSÃO: Comprimento: 15cm (variação de +/- 10%), CARACTERÍSTICAS ADICIONAIS: Descartável, isento de rachaduras, deformações e rebarbas, EMBALAGEM: Pacote com 50 unidades, UNID. DE MEDIDA: Unitário;20.00;2.7500
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;366;2023;Pregão Eletrônico (Lei Federal 14.133/2021);2;7303;3319;Faca para pão, MATERIAL: Lâmina em aço inoxidável e cabo em polipropileno, COMPRIMENTO: Lâmina 20cm e cabo 12cm (variação de +/- 10%), CARACTERÍSTICAS ADICIONAIS: Com lâmina serrilhada, UNID. DE MEDIDA: Unitário;2.00;5.9600
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;366;2023;Pregão Eletrônico (Lei Federal 14.133/2021);3;7303;7250;Colher para arroz, MATERIAL: Totalmente em Aço Inoxidável, COMPRIMENTO: Mínimo: 300mm, ESPESSURA: Mínimo: 1,8mm, CARACTERÍSTICAS ADICIONAIS: Sem decoração e Sem emendas, UNID. DE MEDIDA: Unitário;5.00;4.7200
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;366;2023;Pregão Eletrônico (Lei Federal 14.133/2021);7;7303;2624;Garrafa térmica, TIPO: Pressão, CAPACIDADE: 1 litro, MODELO: Lisa, MATERIAL: Corpo plástico, ampola de vidro, COR: Preta, branca ou azul escuro, CARACTERÍSTICAS ADICIONAIS: Com alça, UNID. DE MEDIDA: Unitário;20.00;33.9000
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;366;2023;Pregão Eletrônico (Lei Federal 14.133/2021);11;7303;3248;Garrafa térmica, TIPO: Pressão, CAPACIDADE: 1,8 litros, MODELO: Lisa, MATERIAL: Corpo com revestimento em aço inox, ampola de vidro e tampa em polipropileno, CARACTERÍSTICAS ADICIONAIS: Com alça , UNID. DE MEDIDA: Unitário;30.00;56.9500
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;1026;2023;Pregão Eletrônico (Lei Federal 14.133/2021);7;7910;64;Lixeira, TIPO: Sem tampa, USO: Escritório, MATERIAL: Polipropileno, MEDIDA: Altura: 25cm, Diâmetro: 25cm, COR: Preta, CAPACIDADE: 12 litros (variação de +/- 10%), UNID. DE MEDIDA: Unitário;40.00;16.0000
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;1026;2023;Pregão Eletrônico (Lei Federal 14.133/2021);11;7910;192;Desentupidor, TIPO: Manual, USO: Sanitário, MATERIAL: Bocal em borracha, medindo 10cm (variação de +/- 10%), cabo em madeira revestido em plástico, medindo 50cm (variação de +/- 10%), UNID. DE MEDIDA: Unitário;3.00;3.2500
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;1026;2023;Pregão Eletrônico (Lei Federal 14.133/2021);18;7910;10328;Pá, USO: Lixo, MATERIAL: Chapa em polipropileno e cabo em madeira, revestido, MEDIDA: Comprimento: 80cm, Largura: 19cm, Altura: 18,5cm (variação de +/- 10%), UNID. DE MEDIDA: Unitário;25.00;6.8700
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;1026;2023;Pregão Eletrônico (Lei Federal 14.133/2021);26;7910;12645;Lixeira, TIPO: Com tampa, abertura acionada por pedal e cantos arredondados, MATERIAL: Polipropileno de alta resistência, CAPACIDADE: 15 litros (variação de +/- 10%), COR: Branca, UNID. DE MEDIDA: Unitário;80.00;19.5000
AGEPAR-Agência Reguladora de Serviços Públicos Delegados do Paraná;1069;2023;Pregão Eletrônico (Lei Federal 14.133/2021);9;8910;40815;Chá, SABOR: Capim cidreira, TIPO: Preparo instantâneo, CARACTERÍSTICAS ADICIONAIS: Isento de sujidades e substâncias estranhas a sua natureza, EMBALAGEM: Caixa com 10 saquinhos, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: 10g, UNID. DE MEDIDA: Unitário;100.00;1.8000
ALEP-Assembleia Legislativa do Estado do Paraná;22;2023;Pregão Eletrônico (Lei Federal 14.133/2021);5;8917;4094;Água mineral natural, CLASSIFICAÇÃO: Sem gás, EMBALAGEM: Garrafa plástica, com tampa rosqueável e lacre de segurança, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: Entre 500 à 510ml, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades e quaisquer materiais estranhos que comprometam a sua qualidade, UNID. DE MEDIDA: Unitário;2868.00;0.8700
ALEP-Assembleia Legislativa do Estado do Paraná;22;2023;Pregão Eletrônico (Lei Federal 14.133/2021);5;8917;4094;Água mineral natural, CLASSIFICAÇÃO: Sem gás, EMBALAGEM: Garrafa plástica, com tampa rosqueável e lacre de segurança, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: Entre 500 à 510ml, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades e quaisquer materiais estranhos que comprometam a sua qualidade, UNID. DE MEDIDA: Unitário;16560.00;0.8700
ALEP-Assembleia Legislativa do Estado do Paraná;22;2023;Pregão Eletrônico (Lei Federal 14.133/2021);6;8917;4094;Água mineral natural, CLASSIFICAÇÃO: Sem gás, EMBALAGEM: Garrafa plástica, com tampa rosqueável e lacre de segurança, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: Entre 500 à 510ml, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades e quaisquer materiais estranhos que comprometam a sua qualidade, UNID. DE MEDIDA: Unitário;10596.00;0.8700
ALEP-Assembleia Legislativa do Estado do Paraná;22;2023;Pregão Eletrônico (Lei Federal 14.133/2021);8;8917;5340;Água mineral natural, CLASSIFICAÇÃO: Gaseificada, EMBALAGEM: Garrafa plástica, com tampa rosqueável e lacre de segurança, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: Entre 500 à 510ml, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades e quaisquer materiais estranhos que comprometam a sua qualidade, UNID. DE MEDIDA: Unitário;4752.00;1.1200
ALEP-Assembleia Legislativa do Estado do Paraná;38;2023;Pregão Eletrônico;2;7502;9572;Papel, TIPO: Sulfite, alcalino, FORMATO: A4, MEDIDA: Largura: 210mm, Comprimento: 297mm, COR: Branco, GRAMATURA: 75g/m², EMBALAGEM: Resma (500 folhas), CARACTERÍSTICA ADICIONAL: Não clorado e não reciclado, UNID. DE MEDIDA: Unitário;710.00;18.9600
ALEP-Assembleia Legislativa do Estado do Paraná;272;2023;Pregão Eletrônico;43;127;41179;Prestação de Serviços, TIPO: Transporte de passageiros em veículo Van, com capacidade de no mínimo 16 lugares, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;42.00;1083.0000
ALEP-Assembleia Legislativa do Estado do Paraná;272;2023;Pregão Eletrônico;46;127;41179;Prestação de Serviços, TIPO: Transporte de passageiros em veículo Van, com capacidade de no mínimo 16 lugares, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;95.00;869.9500
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);22;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;8917;1508;Água mineral natural, CLASSIFICAÇÃO: Sem gás, EMBALAGEM: Copo plástico, com tampa de vedação em alumínio, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: 200ml, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades e quaisquer materiais estranhos que comprometam a sua qualidade, UNID. DE MEDIDA: Unitário;2800.00;0.5400
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);22;2023;Pregão Eletrônico (Lei Federal 14.133/2021);5;8917;4094;Água mineral natural, CLASSIFICAÇÃO: Sem gás, EMBALAGEM: Garrafa plástica, com tampa rosqueável e lacre de segurança, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: Entre 500 à 510ml, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades e quaisquer materiais estranhos que comprometam a sua qualidade, UNID. DE MEDIDA: Unitário;1500.00;0.8700
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);22;2023;Pregão Eletrônico (Lei Federal 14.133/2021);7;8917;5340;Água mineral natural, CLASSIFICAÇÃO: Gaseificada, EMBALAGEM: Garrafa plástica, com tampa rosqueável e lacre de segurança, constando a data de validade e demais exigências conforme legislação vigente, PESO LÍQUIDO: Entre 500 à 510ml, CARACTERÍSTICAS ADICIONAIS: Isenta de sujidades e quaisquer materiais estranhos que comprometam a sua qualidade, UNID. DE MEDIDA: Unitário;1500.00;1.1200
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);27;2023;Pregão Eletrônico (Lei Federal 14.133/2021);22;7504;6321;Caixa arquivo, MATERIAL: Papelão ondulado, parede simples, onda B, revestido de 2 capas em papel kraft, ESPESSURA: 3,3mm, GRAMATURA: Mínima de 419 g/m², IMPRESSÃO: 1 lado para identificação, COR: Marrom, MEDIDA: DIMENSÃO APROXIMADA: Largura: 140mm, Altura: 250mm, Profundidade: 375mm, CARACTERÍSTICAS ADICIONAIS: Desmontável, com furos nas laterais para ventilação, UNID. DE MEDIDA: Unitário;1000.00;2.1800
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);38;2023;Pregão Eletrônico;2;7502;9572;Papel, TIPO: Sulfite, alcalino, FORMATO: A4, MEDIDA: Largura: 210mm, Comprimento: 297mm, COR: Branco, GRAMATURA: 75g/m², EMBALAGEM: Resma (500 folhas), CARACTERÍSTICA ADICIONAL: Não clorado e não reciclado, UNID. DE MEDIDA: Unitário;100.00;18.9600
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);138;2023;Pregão Eletrônico (Lei Federal 14.133/2021);31;7905;2027;Saco plástico de lixo, USO: Coleta seletiva (orgânico), COR: Marrom, CAPACIDADE: 15 litros (3kg), ESPESSURA MÍNIMA: 0,04mm, MATÉRIA-PRIMA: Confeccionado com resinas termoplásticas, virgens ou recicladas, com o emprego de pigmentos e aditivos compatíveis que não interfiram nas características de resistência e opacidade, com solda contínua, homogênea e uniforme, EMBALAGEM: Pacote com 50 unidades, constando marca, fabricante, quantidade, dimensão, tipo de resíduo, capacidade nominal em litros e kg, PESO MÍNIMO DO PACOTE: 0,400kg, CARACTERÍSTICAS ADICIONAIS: Lote de cor uniforme, UNIDADE DE FORNECIMENTO: Pacote, UNID. DE MEDIDA: Unitário;500.00;3.5700
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);211;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;6701;77453;Headset, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com o Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;50.00;73.9700
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);334;2023;Pregão Eletrônico (Lei Federal 14.133/2021);2;105;86691;Prestação de Serviços, TIPO: Confecção de Cordão Personalizado para Crachá, CARACTERÍSTICA ADICIONAL: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;300.00;1.8600
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);334;2023;Pregão Eletrônico (Lei Federal 14.133/2021);3;105;86692;Prestação de Serviços, TIPO: Confecção de Porta Crachá Personalizado, CARACTERÍSTICA ADICIONAL: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;300.00;0.4000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);389;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;4501;62517;Assento para vaso sanitário, Com tampa, MEDIDA: Aproximadamente 42cm x 36cm, MATERIAL: Plástico Polipropileno, COR: Branca, FORMATO: Quadrado, UNID. DE MEDIDA: Unitário;50.00;40.8700
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);467;2023;Pregão Eletrônico (Lei Federal 14.133/2021);6;7303;65797;Copo, TIPO: Descartável, USO: Água, APRESENTAÇÃO: Conter gravação em relevo, com características visíveis e de forma indelével: Marca ou identificação do fabricante, capacidade do copo e o símbolo de identificação do material para reciclagem, MATERIAL: Resina termoplástica, com ou sem a incorporação de aditivos e/ou pigmentos, COR: Branco, CAPACIDADE: 200ml, MASSA MÍNIMA: 1,80g, CARACTERÍSTICAS ADICIONAIS: Isento de sujidades, materiais estranhos, bolhas, rachaduras, furos, deformações, bordas afiadas ou rebarbas, EMBALAGEM: Pacote plástico com 100 unidades, UNID. DE MEDIDA: Unitário;500.00;3.4900
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1025;2023;Pregão Eletrônico (Lei Federal 14.133/2021);2;8504;2458;Papel higiênico, APRESENTAÇÃO: Rolão, TIPO: Gofrado, alta absorção, sem picote, folha simples de boa qualidade, USO: Dispenser, MEDIDA: Largura: 10cm, Comprimento: 300m (tolerância de 2%), FRAGRÂNCIA: Neutra, COR: Branco, COMPOSIÇÃO: 100% fibras de celulose virgem, não reciclado, EMBALAGEM: Rolo com 300m, CARACTERÍSTICAS ADICIONAIS: Ausência de furos, rasgos, manchas, cheiro, partículas lenhosas, metálicas, fragmentos plásticos ou outras substâncias nocivas à saúde, UNID. DE MEDIDA: Unitário;500.00;5.5000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1025;2023;Pregão Eletrônico (Lei Federal 14.133/2021);5;8504;2467;Papel higiênico, TIPO: Gofrado, folha dupla de alta qualidade, com picote e alta absorção, MEDIDA: Largura: 10cm, Comprimento: 30m (variação de +/- 2%), FRAGRÂNCIA: Neutra, COR: Branco, COMPOSIÇÃO: 100% fibras de celulose virgem, não reciclado, EMBALAGEM: Rolo com 30m, CARACTERÍSTICAS ADICIONAIS: Ausência de furos, rasgos, manchas, cheiro ou quaisquer substâncias nocivas a saúde, UNID. DE MEDIDA: Unitário;6000.00;0.8400
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1025;2023;Pregão Eletrônico (Lei Federal 14.133/2021);25;8504;4597;Toalha de papel, APRESENTAÇÃO: Bobina, TIPO: Folha simples, USO: Dispenser auto corte, COMPOSIÇÃO: 100% fibras de celulose virgem, DIMENSÃO: Largura: 20cm, Comprimento: 200m (variação de +/- 10%), GRAMATURA: 27g/m² à 29g/m², CARACTERÍSTICAS ADICIONAIS: De primeira qualidade, alta absorção e sem odor, UNID. DE MEDIDA: Unitário;400.00;11.0000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1025;2023;Pregão Eletrônico (Lei Federal 14.133/2021);31;8504;6323;Toalha de papel, TIPO: Interfolhada, PADRÃO: 2 dobras, COMPOSIÇÃO: 100% fibras de celulose virgem, não reciclado, COR: Branca, DIMENSÃO: Largura: 20cm, Comprimento: 22cm, (variação de +/- 10%), GRAMATURA: 27g/m² a 29g/m², EMBALAGEM: Caixa ou fardo plástico com 2000 folhas, embaladas internamente em 8 maços de 250 folhas cada, CARACTERÍSTICAS ADICIONAIS: De primeira qualidade, alta absorção e sem odor, UNID. DE MEDIDA: Unitário;500.00;25.0000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1025;2023;Pregão Eletrônico (Lei Federal 14.133/2021);31;8504;6323;Toalha de papel, TIPO: Interfolhada, PADRÃO: 2 dobras, COMPOSIÇÃO: 100% fibras de celulose virgem, não reciclado, COR: Branca, DIMENSÃO: Largura: 20cm, Comprimento: 22cm, (variação de +/- 10%), GRAMATURA: 27g/m² a 29g/m², EMBALAGEM: Caixa ou fardo plástico com 2000 folhas, embaladas internamente em 8 maços de 250 folhas cada, CARACTERÍSTICAS ADICIONAIS: De primeira qualidade, alta absorção e sem odor, UNID. DE MEDIDA: Unitário;0.00;25.0000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1025;2023;Pregão Eletrônico (Lei Federal 14.133/2021);39;8504;13858;Guardanapo de papel, TIPO: Folha simples, COMPOSIÇÃO: Papel de fibra 100% celulósica virgem, DIMENSÃO: Largura: 24cm, Comprimento: 24cm (variação de +/- 10%), COR: Branco, EMBALAGEM: Pacote plástico com 50 unidades, UNID. DE MEDIDA: Unitário;1000.00;1.9000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1037;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;118;74130;Prestação de Serviços, TIPO: Licença Software Autodesk BIM Collaborate Pro, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;7.00;12135.0000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1073;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;2501;62268;Plotagem de Veículo Padrão Simples conforme Manual de Uso de Marca do Governo do Estado constante no Termo de Referência, UNID. DE MEDIDA: Unitário;1.00;2472.0000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1073;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;2301;90818;Veículo, TIPO: Hatch, 100% elétrico, POTÊNCIA MÍNIMA: 62cv, AUTONOMIA MÍNIMA: 160km, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;1.00;120000.0000
AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);1073;2023;Pregão Eletrônico (Lei Federal 14.133/2021);4;6104;87102;Estação de carregamento, TIPO: Totem, USO: Para veículo elétrico, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;1.00;26700.0000
ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL;116;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;112;39459;Prestação de Serviços de Locação, TIPO: Equipamento de Reprografia do Tipo 02, CARACTERÍSTICAS ADICIONAIS: Impressora Multifuncional Monocromática, Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;28.00;133.1600
ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL;116;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;112;51285;Prestação de Serviços de Locação, TIPO: Equipamento de Reprografia do Tipo 04, Impressora Multifuncional Policromática, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;120.00;188.5000
ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL;116;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;112;56537;Prestação de Serviços, TIPO: Impressão e Cópias, Colorida - A4, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;50000.00;0.2100
ASSEMBLEIA LEGISLATIVA DO ESTADO DO RIO GRANDE DO SUL;116;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;112;85060;Prestação de Serviços, TIPO: Impressão e Cópias, Monocromática / Colorida - A4, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;65000.00;0.0200
Câmara Municipal de Belo Horizonte - MG;1037;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;7002;67830;Software Autodesk Collection Autodesk Architecture, Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;9.00;42979.3500
CÂMARA MUNICIPAL DE FAZENDA RIO GRANDE/PR;1073;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;2301;90818;Veículo, TIPO: Hatch, 100% elétrico, POTÊNCIA MÍNIMA: 62cv, AUTONOMIA MÍNIMA: 160km, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;1.00;120000.0000
CASA CIVIL-Casa Civil do Estado do Paraná;116;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;112;39459;Prestação de Serviços de Locação, TIPO: Equipamento de Reprografia do Tipo 02, CARACTERÍSTICAS ADICIONAIS: Impressora Multifuncional Monocromática, Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;10.00;133.1600
CASA CIVIL-Casa Civil do Estado do Paraná;116;2023;Pregão Eletrônico (Lei Federal 14.133/2021);1;112;85060;Prestação de Serviços, TIPO: Impressão e Cópias, Monocromática / Colorida - A4, CARACTERÍSTICAS ADICIONAIS: Demais informações de acordo com Termo de Referência e/ou Descritivo Técnico do Processo, UNID. DE MEDIDA: Unitário;2000.00;0.0200
