numprocesso,objeto,orgao,adesao_ata_srp-2023__qtd_registros,alteracoes_ata_srp-2023__qtd_registros,contratos-2023__qtd_registros,empresas_participantes-2023__qtd_registros,itens-2023__qtd_registros,lotes-2023__qtd_registros,orgaos_participantes-2023__qtd_registros,publicidade-2023__qtd_registros,anomaly_score,is_anomalous
14,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS DE REFORMA
DO BLOCO P DO ARQUIVO HISTORICO MUNICIPAL E CENTRO DE DOCUMENTACAO E
MEMORIA DA UNICENTRO, NO CAMPUS SANTA CRUZ, COM RECURSOS DO TC 18/23 SETI.",UNICENTRO-Universidade Estadual do Centro-Oeste,,,3.0,11.0,22.0,22.0,,16.0,-0.09764228930690716,0
15,"CONTRATACAO DE EMPRESA ESPECIALIZADA PARA PRESTACAO DE SERVICOS DE REPINTURA EM EDIFICACOES NO CAMPUS IRATI DA UNICENTRO, COM RECURSOS PROPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,,,2.0,9.0,11.0,11.0,4.0,11.0,-0.14640132052674765,0
16,CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE ENGENHARIA.,UEL-Universidade Estadual de Londrina,,,5.0,11.0,26.0,20.0,7.0,6.0,-0.15658540553229672,0
19,"Contratação de empresa especializada na elaboração de projetos arquitetônicos e complementares para a construção do Centro Comunitário de Ensino, Pesquisa e Extensão da Unespar  CEPEX, Campus Paranavaí da Universidade Estadual do Paraná UNESPAR.",UNESPAR-Universidade Estadual do Paraná,,,4.0,26.0,25.0,22.0,7.0,5.0,-0.1350071474357823,0
20,"Contratação Integrada de Empresa para Elaboração dos Projetos Básico e Executivo e Execução das Obras de Pavimentação da Rodovia PR-092 em Doutor Ulysses, do km 117,88 ao 129,83, numa extensão de 11,95 km.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,3.0,21.0,51.0,43.0,3.0,6.0,-0.025056257374439006,0
21,Reforma do telhado bloco H campus de Cascavel.,UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria,,,4.0,8.0,14.0,8.0,9.0,7.0,-0.11801998223313831,0
24,"CONTRATAÇÃO DE EMPRESA PARA CONSTRUÇÃO DA NOVA BIBLIOTECA CENTRAL DA UEL, COM APROXIMADAMENTE 5000,40M2",UEL-Universidade Estadual de Londrina,,,3.0,33.0,43.0,43.0,,5.0,-0.1018984913808158,0
26,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DE TORRE DE TRANSFORMAÇÃO DE ENERGIA ELÉTRICA DO IPA-CCA.,UEL-Universidade Estadual de Londrina,19.0,34.0,2.0,37.0,39.0,40.0,1054.0,8.0,-0.03014503791272699,0
28,"CONTRATACAO DE EMPRESA PARA PRESTACAO DE SERVICOS DE REFORMA
DOS BANHEIROS DO 2O PAVIMENTO DO BLOCO G DO CAMPUS SANTA CRUZ DA
UNICENTRO, EM GUARAPUAVA-PR, COM RECURSOS PROPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,31.0,26.0,5.0,30.0,28.0,31.0,1050.0,9.0,-0.10512384901603339,0
29,"Contratação de empresa especializada em serviços de engenharia para execução da Ampliação do Colégio Estadual Fazenda Velha, situado na Rua Doutor Vital Brasil, 830, Bairro Estação, fone 41 3643-3279, no Município de Araucária, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,14.0,26.0,5.0,80.0,85.0,87.0,767.0,8.0,-0.02887346937170976,0
30,"CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE ENGENHARIA, PARA RECUPERAÇÃO E REFORMA DO BLOCO 03 E PASSARELAS DE ACESSO DO CCB DA UNIVERSIDADE ESTADUAL DE LONDRINA. - A PARTIR DOS LAYOUTS E MEMORIAIS ANEXOS - MAIORES DETALHES NA PASTA TÉCNICA.",UEL-Universidade Estadual de Londrina,24.0,2.0,5.0,37.0,38.0,39.0,900.0,7.0,-0.11728402285750145,0
33,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DE
SALAS DO 1O E 2O PAVIMENTOS DOS BLOCOS A E B DO CÂMPUS SANTA CRUZ DA
UNICENTRO, EM GUARAPUAVA-PR, COM RECURSOS PRÓPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,,,15.0,24.0,34.0,35.0,,10.0,-0.08938879458986082,0
35,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMAS NO PRÉDIO PRINCIPAL E BLOCO NEES DO CÂMPUS IRATI DA UNICENTRO, COM RECURSOS
PRÓPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,,,2.0,23.0,32.0,32.0,,6.0,-0.13827602964680885,0
36,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DA
PRAÇA INTERNA ENTRE OS BLOCOS A, E, D E H DO CÂMPUS SANTA CRUZ DA UNICENTRO,
EM GUARAPUAVA-PR, COM RECURSOS PRÓPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,,,3.0,10.0,12.0,12.0,,10.0,-0.15855442157172817,0
37,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DE CALÇADAS E PISOS EXTERNOS NOS BLOCOS A, B E D, ESTACIONAMENTO E HALL DE
ENTRADA DO CÂMPUS SANTA CRUZ, EM GUARAPUAVA-PR, COM RECURSOS PRÓPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,,,2.0,13.0,13.0,13.0,15.0,7.0,-0.1368617029138794,0
38,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DE SALAS DO NÚCLEO DE EDUCAÇÃO À DISTÂNCIA, BLOCO D DO CÂMPUS SANTA CRUZ DA UNICENTRO, COM RECURSOS DO TED 171/2023.",UNICENTRO-Universidade Estadual do Centro-Oeste,44.0,24.0,55.0,28.0,29.0,29.0,463.0,9.0,0.011107577914510669,1
39,"Contratação de empresa especializada em engenharia para elaboração de projetos de engenharia elétrica para a Universidade Estadual do Paraná - Campus de Paranavaí - PR. Demais especificações técnicas de acordo com o Edital e seus anexos. Solicitação GMS 16062/2023, Item 0728.72235.",UNESPAR-Universidade Estadual do Paraná,,,4.0,3.0,7.0,6.0,,6.0,-0.16433140528362078,0
40,"Contratação de empresa especializada em engenharia e/ou arquitetura para prestação de serviços técnicos referentes à elaboração de Projetos Executivos de Instalações Elétricas, Climatização e Drenagem visando adequação e regularização das instalações do Campus de Apucarana da Universidade Estadual do Paraná - UNESPAR.",UNESPAR-Universidade Estadual do Paraná,,,2.0,4.0,6.0,6.0,,4.0,-0.18248581890707655,0
42,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMAS
NAS SALAS ADMINISTRATIVAS DA REITORIA DA UNICENTRO, NO CÂMPUS SANTA CRUZ EM
GUARAPUAVA-PR, COM RECURSOS PRÓPRIOS.",UNICENTRO-Universidade Estadual do Centro-Oeste,,,2.0,2.0,4.0,4.0,,5.0,-0.049968195240027935,0
43,"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DA
SALA DA EDITORA UNIVERSITÁRIA NO CÂMPUS SANTA CRUZ DA UNICENTRO, EM
GUARAPUAVA-PR, COM RECURSOS PRÓPRIOS",UNICENTRO-Universidade Estadual do Centro-Oeste,,,3.0,3.0,4.0,4.0,,13.0,-0.13697775996049633,0
44,Contratação de empresa de engenharia para obra de construção do depósito do NEAT no Campus de Bandeirantes.,UENP-Universidade Estadual do Norte do Paraná,,,5.0,4.0,23.0,17.0,,5.0,-0.15427251918446605,0
45,"Contratação de empresa especializada para execução da obra de Pavimentação das Estradas Rurais de Ligação entre São José dos Pinhais e Mandirituba, na Região Metropolitana de Curitiba, com extensão total de 26,61 km.",AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC),,3.0,7.0,23.0,21.0,21.0,18.0,7.0,-0.07790125652186836,0
46,"Empreitada por preço unitário, para reforma do telhado do Bloco G, da Universidade Estadual do Oeste do Paraná - Unioeste - Campus de Cascavel.",UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria,4.0,,4.0,19.0,70.0,20.0,304.0,9.0,-0.11643378912504987,0
47,"Contratação de empresa especializada para execução da obra de um Posto de Vigilância com área de 7,20 metros quadrados, e a execução de Iluminação Pública - com postes de concreto e de metal - com área de 2.340,00 metros quadrados na entrada do campus de Ivaiporã-PR que é uma extensão da UEM, no endereço esquina das Avenidas Portugal e Espanha, s/n - CEP 86870-000, no município de Ivaiporã, Paraná",UEM-Universidade Estadual de Maringá,1.0,,1.0,78.0,89.0,89.0,310.0,4.0,0.014969501965939047,1
48,"Contratação de empresa especializada em serviços de engenharia para Retomada da Obra do Centro Estadual de Educação Profissional  CEEP de Ibiporã, situado na Rua Olavo Bilac, Lote 3 B1, s/n, fone do NRE de Londrina 43 3371-1300, no Município de Ibiporã, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,3.0,4.0,101.0,4.0,,4.0,-0.1204827703686685,0
49,"Contratação de empresa especializada em serviços de engenharia para Retomada da Obra do Centro Estadual de Educação Profissional CEEP de Colorado, situado na Rodovia Francisco Laranjeira Vilar, PR-542, nº 850, Gleba Bacia do Pirapó, fone do NRE de Maringá 44 3218-7100, no Município de Colorado, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,2.0,2.0,3.0,3.0,,4.0,-0.151789567703088,0
51,Empreitada por preco unitario para a reforma da Sala A-328 para adequacao de espaco para atividades do Escritorio de Engenharia Projetek Campus de Cascavel,UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria,,,4.0,3.0,3.0,3.0,,4.0,-0.16740971270548338,0
52,"Contratação de empresa especializada para a Execução da Conclusão do bloco I24-CCH com área de 4.826,90 metros quadrados. Faz parte da contratação o fornecimento dos seguintes serviços 1 - Projetos complementares pela modelagem BIM - Hidrossanitário,  Prevenção contra incêndio,  Aproveitamento de águas pluviais,  Eletricidade,  Climatização,  e elaboração de orçamento através da planilha oficial modelo SINAPI/PR - com preços atualizados - no padrão elaborado pela UEM/PCU.",UEM-Universidade Estadual de Maringá,5.0,,21.0,6.0,31.0,7.0,3.0,9.0,-0.07691342777495147,0
53,"Contratação de empresa especializada em serviços de engenharia para Ampliação do Colégio Estadual do Campo Dr. Caetano Munhoz da Rocha, situado na Rua Principal, s/n, Distrito Pangaré, fone 41 3683-1116, no Município de Quitandinha, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,58.0,4.0,15.0,35.0,34.0,36.0,727.0,7.0,-0.07383299726564518,0
54,reforma do Bloco I e salas no campus de Foz,UNIOESTE FOZ-Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu,33.0,1.0,12.0,41.0,47.0,47.0,846.0,3.0,-0.09690010338527055,0
55,"Contratação de empresa especializada em serviços de engenharia para retomada da obra da Unidade Nova Escolar Lagoinha, situada na Avenida Paraná, 2500, Bairro Lagoinha, fone NRE  41 3277-7353, no Município de Mandirituba, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,4.0,3.0,4.0,8.0,38.0,17.0,54.0,3.0,-0.15849502037263236,0
58,"Contratação de empresa especializada em serviços de engenharia para Ampliação do Colégio Estadual do Campo Novo Sarandi, situado na Rua São Luiz, 1461, Distrito Novo Sarandi, fone 45 3273-1311, no Município de Toledo, Estado do Paraná",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,75.0,3.0,5.0,87.0,5.0,84.0,6.0,-0.10968253067365086,0
59,"Contratação Integrada de empresa especializada em engenharia e/ou arquitetura, para elaboração de projetos básico ND 350, legal e executivo ND400 de arquitetura, projetos complementares de engenharia, aprovação nos órgãos competentes, As Built ND500 e execução da obra em sistema construtivo pré-fabricado e modular da Unidade Nova Escolar UNV Domingos Francisco Zardo, sito à Rua Rachel de Queiroz, s/n, Moradia Parque das Glicíneas, CEP 85.950-000, fone do NRE de Toledo 45 3379-7200, no Município de Palotina, Estado do Paraná. Os projetos deverão ser desenvolvidos em plataforma BIM Building Information Modeling.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,2.0,3.0,37.0,37.0,,6.0,-0.08764089641299239,0
63,"Contratação de empresa especializada em serviços de engenharia para Construção de Muro de Arrimo na Escola Estadual do Campo Ilha do Teixeira, situado na Rua Principal, s/n, Eufrasina, fone NRE de Paranaguá  41 3420-7266, no Município de Paranaguá, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,3.0,3.0,3.0,3.0,,4.0,-0.16456581631429046,0
64,Solicitação de viabilidade de início de projeto para a construção de 2 quadras de areia no Campus de Cascavel,UNIOESTE CASC-Universidade Estadual do Oeste do Paraná - Campus Cascavel,,,,,12.0,10.0,,9.0,-0.17154994685903086,0
65,"Reforma da sala de tecnologias digitais do Projeto de Engenharia, Informação e Comunicação.",UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria,,,7.0,9.0,14.0,8.0,,2.0,-0.1608966986299053,0
68,"Contratação de empresa especializada para a Execução da Conclusão do Bloco S05/CCO/CME com área total útil de 2.261,74 m2 e área total a ser construída de 4.216,49 m2. Faz parte da contratação o fornecimento dos seguintes serviços - 1 - Projetos complementares pela modelagem BIM - Hidrossanitário e Drenagem, Prevenção Contra Incêndio, Instalações Elétricas, Gases Medicinais, Estrutura em Concreto, Condicionamento de Ar, Canteiro de Obras, e elaboração de orçamento através da Tabela de Custos de Obras de Edificações - Referência - janeiro/2023 - Vigência - abril/2023 Desonerada da Secretaria das Cidades do Estado do Paraná.",UEM-Universidade Estadual de Maringá,,33.0,2.0,48.0,119.0,125.0,174.0,4.0,0.0195160176468544,1
71,"Contratação Integrada de empresa especializada em engenharia e/ou arquitetura, para prestação de serviços técnicos de implantação da Escola de Surf, no município de Matinhos PR, incluindo a  elaboração de projeto básico e executivo de arquitetura e engenharia bem como a execução da obra de construção, no regime de contratação integrada de obras públicas, conforme elementos técnicos instrutores e anexos ao edital.",PRESP-Paraná Esporte (Antigo IPCE),,,5.0,3.0,14.0,5.0,,10.0,-0.14039657514654919,0
73,"Contratação de empresa especializada em serviços de engenharia para Ampliação do Colégio Estadual Moradias Monteiro Lobato, situado na Rua Olívio José Rosseti, 430, Tatuquara, fone  41- 3396-4997, no Município de Curitiba, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,34.0,,93.0,18.0,35.0,19.0,32.0,5.0,0.026319823236617745,1
74,Reconstrução do Campus de Foz do Iguaçu - Unioeste,UNIOESTE FOZ-Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu,63.0,,23.0,9.0,30.0,9.0,24.0,4.0,-0.08066625918570641,0
75,"Contratação Integrada de empresa especializada em engenharia e/ou arquitetura, para elaboração de projetos básico legal e executivo ND400 de arquitetura, projetos complementares de engenharia, aprovação nos órgãos competentes, As Built ND500 e execução da obra em sistema construtivo pré-fabricado e modular da Unidade Nova Escolar UNV para o Colégio Estadual Prof. Iolando Taques Fonseca, sito à Rua Professor Fábio Fanucchi, s/n, Bairro Boa Vista, CEP 84.071-220, Fone do Núcleo Regional de Ensino NRE 42 3219-5421, no município de Ponta Grossa, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,2.0,2.0,8.0,7.0,,3.0,-0.11449682371333847,0
76,"CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA, VISANDO FORNECIMENTO E INSTALAÇÃO DE UM ELEVADOR SEM CASA DE MÁQUINAS E UMA PLATAFORMA ELEVATÓRIA PARA A UNIOESTE, CAMPUS TOLEDO/PR",UNIOESTE TOLEDO-Universidade Estadual do Oeste do Paraná - Campus Toledo,,,3.0,5.0,8.0,4.0,,4.0,-0.1820001499556262,0
77,"Contratação de empresa especializada em serviços de engenharia para Retomada da Obra do Centro Estadual de Educação Profissional  CEEP de Londrina, situado na Rua Guilhermina Lahmann, 670, Bairro Aquilles Sthengel, fone do NRE de Londrina 43 3371-1300, no Município de Londrina, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,6.0,,9.0,23.0,100.0,22.0,341.0,3.0,-0.07254935821207631,0
78,"Contratação de empresa especializada em serviços de engenharia para Ampliação do Colégio Estadual Marli Queiroz Azevedo, situado à Rua Cyro Correia Pereira, 3506, Bairro CIC, fone 41 3569-3073, no Município de Curitiba, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,2.0,2.0,2.0,2.0,,3.0,-0.18059077297298176,0
80,"Contratação de empresa de engenharia para execução da obra de Reforma com ampliação de área da Central de Laboratórios Multiusuário, no Campus Luiz Meneghel de Bandeirantes.",UENP-Universidade Estadual do Norte do Paraná,,,6.0,78.0,85.0,85.0,,5.0,0.008832764820167816,1
81,"CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE SERVIÇOS COMUNS DE ENGENHARIA, VISANDO A CONSTRUÇÃO DE PASSARELAS DE INTERLIGAÇÃO ENTRE BLOCOS DA UNIOESTE, CAMPUS TOLEDO/PR",UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria,,,2.0,11.0,7.0,6.0,,6.0,-0.17710760392216318,0
82,"Contratação de empresa especializada para execução de obra de reforma e ampliação do Colégio
Estadual Nirlei Medeiros, situado na Rua Antônio Bertholdi, 409, Campo Santana, fone 41 3225-8457,no Município de Curitiba, Estado do Paraná",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,18.0,,13.0,119.0,329.0,126.0,716.0,4.0,0.10739078272012881,1
83,"Contratação de empresa especializada em serviços de engenharia para retomada  da obra da ampliação do Colégio Estadual Pinheiro do Paraná, situado à Rua Daniel Cesário Pereira, 559, Santa Felicidade, fone 41 3364-6581, no Município de Curitiba, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,2.0,2.0,42.0,42.0,,3.0,0.03788731641200671,1
85,"Contratação de empresa especializada em serviços de engenharia para Cobertura da Quadra Poliesportiva do Colégio Estadual São Carlos do Ivaí, situado na Avenida Tiradentes, 1022, Centro, fone 44 3438-1430, no Município de São Carlos do Ivaí, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,2.0,2.0,43.0,43.0,,5.0,-0.06253549825173627,0
86,"Contratação de empresa especializada em serviços de engenharia para retomada de obra da Quadra Coberta do Colégio Estadual Walde Rosi Galvão, situado na Rua Azaleia, 3226, fone 41 3557-1895, no Município de Pinhais, Estado do Paraná",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,8.0,9.0,13.0,8.0,10.0,3.0,-0.15735467427048333,0
87,"Contratação de empresa especializada para execução de serviços de reforma e manutenção do Hospital Universitário Regional dos Campos Gerais, no endereço Alameda Nabuco de Araújo, 601- Uvaranas, no município de Ponta Grossa, Paraná, conforme planilha orçamentária de referência constante no Anexo XIII.",UEPG-Universidade Estadual de Ponta Grossa,,,3.0,7.0,8.0,7.0,,7.0,-0.16893990982009366,0
88,"Contratação de Empresa, em Regime de Empreitada por Preço Unitário para Execução de Serviços Comuns de Engenharia visando a Reforma do Prédio do PGDRA da UNIOESTE, Campus de Toledo",UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria,,,5.0,16.0,9.0,9.0,,4.0,-0.16470372924602117,0
90,"Contratação de empresa especializada em serviços de engenharia para retomada e conclusão da obra do Colégio Estadual Ângelo Volpato, situado na Rua João Valle,  23, Santa Felicidade, fone 41 3297-2857, no Município de Curitiba, Estado do Paraná.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,2.0,10.0,52.0,14.0,50.0,2.0,-0.15464630904003274,0
91,"Contratação Integrada de empresa especializada em engenharia e/ou arquitetura, para elaboração de projetos básico, legal e executivo de arquitetura, projetos complementares de engenharia, aprovação nos órgãos competentes, As Built e execução da obra em sistema construtivo pré-fabricado e modular da Unidade Nova Escolar Zacarias Cardoso de Cristo, sito à Rua Manoel Muller de Siqueira, 1175, Vila São Pedro II, fone do NRE da Área Metropolitana Norte 41 3251-6500, no Município de Rio Branco do Sul, Estado do Paraná. Os projetos deverão ser desenvolvidos em plataforma BIM.",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,3.0,3.0,17.0,4.0,,3.0,-0.1653497016133243,0
92,"Empreitada por preço unitário, para a Reforma de banheiros do bloco I, 1º andar, e Adequações para instalação de elevador da Universidade Estadual do Oeste do Paraná  UNIOESTE Campus de Marechal Cândido Rondon-PR",UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria,,,1.0,1.0,2.0,2.0,,1.0,-0.1775223416596206,0
93,"Reforma de banheiros do bloco I, térreo  Etapa IV, da Universidade Estadual do Oeste do Paraná - UNIOESTE Campus de Marechal Cândido Rondon-PR",UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria,,,5.0,24.0,30.0,38.0,,2.0,-0.1380051529446067,0
94,"Contratação de empresa para a execução de obra comum de engenharia, construção de muro de arrimo no Escritório Regional do DER/PR, nominado Vale do Chopim, situado á Avenida Sete de Setembro, nº 363,  município de Pato Branco, Paraná DER/PR.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,,1.0,2.0,2.0,,4.0,-0.1842913650460431,0
95,"Contratação de Empresa, em Regime de Empreitada por Preço Unitário para Execução de Serviços Comuns de Engenharia visando a Reforma dos Banheiros do Bloco de Salas de Aula 1 e 2º Pavimentos do Campus de Toledo",UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria,,,6.0,26.0,30.0,30.0,,2.0,-0.12062793192396087,0
97,Reforma dos banheiros do bloco D,UNIOESTE FOZ-Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu,,,3.0,2.0,2.0,2.0,,1.0,-0.1836321229077481,0
98,Projeto e Orçamento para reformas do Colegiado do Curso de Pedagogia  Campus Cascavel,UNIOESTE CASC-Universidade Estadual do Oeste do Paraná - Campus Cascavel,,,3.0,3.0,41.0,26.0,,5.0,-0.14511895572116928,0
99,"Contratação Integrada de empresa especializada para elaboração de projetos básico e executivo de arquitetura e complementares e execução da obra em sistema construtivo pré-fabricado e modular da Nova Unidade Escolar UNV Bairro Fraron, sito à Rua Maria Madalena Tatto, Lote 09, Quadra 1601, CEP 85.503-326, Fone do Núcleo Regional de Pato Branco 46 3220-5319, no município de Pato Branco, Estado do Paraná. Os projetos deverão ser desenvolvidos em plataforma BIM .",FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,,,3.0,13.0,133.0,13.0,,4.0,-0.08643814194998667,0
