numprocesso;ano;modalidade;nrlote;caracteristicas;situacao;valor_estimado;valor_ou_desconto_homologado;cpf_cnpj_vencedor;nome_razaosocial_vencedor
8;2025;Chamamento Público;1;746 bens moveis - diversos - desnecessarios, em LOTE UNICO, da cidade de Londrina. ;Deserto;247810.27;;;
10;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Central do Estado - Unidade de Progressão - PCE-UP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
11;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Ponta Grossa - Unidade de Segurança II - PEPG - US II, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
12;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para construção de estrutura física para emprego de mão de obra prisional na Penitenciária Feminina de Piraquara II - Centro de Integração Social, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
13;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária de Integração Social de Piraquara - PISP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;Fase Certame;1518.00;;;
14;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Cadeia Publica de Loanda, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;Fase Certame;1518.00;;;
15;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Feminina do Paraná - PFP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;Fase Certame;1518.00;;;
16;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a uso de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Francisco Beltrão - PEFB, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;Fase Certame;1518.00;;;
17;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Ponta Grossa - Unidade de Progressão - PEPG-UP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;Fase Certame;1518.00;;;
18;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Foz do Iguaçu III - Unidade de Progressão - PEF III-UP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
19;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Campo Mourão, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;Fase Certame;1518.00;;;
20;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Cadeia Publica de Toledo, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
21;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Casa de Custodia de Piraquara - CCP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;Fase Certame;1518.00;;;
22;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual Thiago Borges de Carvalho - PETBC, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos.;Fase Certame;1518.00;;;
23;2025;Chamamento Público;1;Credenciamento de Permissionários para exercer a permissão administrativa de uso do espaço publico, a título gratuito, de área física do Edifício Oswaldo Pacheco de Lacerda, sede do Departamento de Estradas de Rodagem do Paraná - antigo mini auditorio, para a instalação, operação e exploração comercial de alimentos e bebidas por meio de Máquinas Automáticas de Conveniência e Alimentação, a fim de oferecer produtos como conveniências, petiscos, lanches, bebidas e outros alimentos de fácil consumo, na modalidade venda direta ao consumidor, com tecnologia de autoatendimento, para atendimento dos servidores, funcionários, estagiários, terceirizados e visitantes do DER/PR. ;Publicado;0.00;;;
27;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para o uso de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Foz do Iguaçu III - Unidade de Progressão - PEF III-UP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
28;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Colonia Penal Agroindustrial do Estado do Paraná - CPAI, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
29;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para o uso de estrutura física para emprego de mão de obra prisional na Colonia Penal Agroindustrial do Estado do Paraná - CPAI, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
30;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para a construção de estrutura física para emprego de mão de obra prisional na Penitenciária Industrial Marcelo Pinheiro - PIMP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
31;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para o uso de estrutura física para emprego de mão de obra prisional na Penitenciária Industrial Marcelo Pinheiro - PIMP, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
32;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para o uso de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Londrina II - PEL II, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
33;2025;Chamamento Público;1;Chamamento Publico para seleção de interessados na utilização de espaços publicos para o uso de estrutura física para emprego de mão de obra prisional na Penitenciária Estadual de Guarapuava - PIG, mediante formalização de Termo de Cooperação e Permissão de Uso, sem transferência de recursos. ;Fase Certame;1518.00;;;
34;2025;Chamamento Público;1;Produçoes audiovisuais de pessoas jurídicas e físicas, sejam elas obras já desenvolvidas, finalizadas e em produção, visando a veiculação em TV aberta pelo Canal TV Paraná Turismo, com a possibilidade de composição da grade de programação, os quais em fase final serão submetidos e aprovados pelo Conselho de Programação da TV Paraná Turismo. ;Fase Certame;0.00;;;
35;2025;Chamamento Público;1;ATO CONVOCATORIO Nº 10 2023. Chamamento dos credenciados no Edital 36 2023 para contratação de Pessoa Jurídica,credenciada, para o pagamento complementar de deslocamento de profissional médico, para a realização de exames complementares para diagnostico de morte encefálica. ;Fase Certame;;;;
38;2025;Chamamento Público;1;Realizar o cadastramento dos Municípios do Estado do Paraná, interessados em assinar Termo de Cooperação, visando o atendimento das obrigaçoes mutuas determinadas pela legislação de trânsito, para o planejamento e a operacionalização da Sinalização Viária Urbana Horizontal e Vertical, compreendendo a contratação de empresa especializada na execução do projeto no Município.;Publicado;0.00;;;
39;2025;Chamamento Público;1;DIAMANTE - 3 COTAS - R 50.000,00;Fase Certame;150000.00;;;
39;2025;Chamamento Público;2;OURO 5 COTAS - 30.000,00;Fase Certame;150000.00;;;
39;2025;Chamamento Público;3;PRATA  10 COTAS  20.000,00;Fase Certame;200000.00;;;
39;2025;Chamamento Público;4;BRONZE 20 COTAS 10.000,00;Fase Certame;200000.00;;;
1;2025;Comparação de Preços (Shopping);1;Criação de experiências imersivas para a prestação de serviços de produção de jogo educacional, na plataforma roblox, com finalidade didática, incluindo serviços de implantação, acompanhamento e manutenção, pelo período de 1 ano apos o lançamento, destinado a atender demandas do Programa de Educação Fiscal da SEFA/PR;Homologado;638500.00;498960.00;07654824000124;COMPASS.UOL TECNOLOGIA LTDA	
1;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Contratação de empresa especializada para execução de reforma da sala de tomografo com área de 43,28 metros quadrados, no Bloco S08, Clínica Odontologica, no endereço Avenida Mandacaru, 1550, no município de Maringá, Paraná, conforme planilha orçamentária de referência constante no Anexo XIII.;Homologado;68214.32;61945.56;50163439000103;CLAUDIO NUNES DE OLIVEIRA LTDA
2;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;O prazo total para elaboração dos projetos básico e executivo e execução da obra é de 360 (trezentos e sessenta) dias, contados a partir da data estabelecida na Ordem de Serviço, sendo que, dentro desse prazo, o período máximo para elaboração e aprovação dos projetos será de 120 (cento e vinte) dias corridos. ;Fase Certame;25728276.11;;;
3;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Construção Consiste no Ato de Executar ou Edificar uma Obra Nova;Publicado;335264442.04;;;
4;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;recuperação do pavimento de vias urbanas do Município de Tamboara;Homologado;1310908.41;999781.93;03716753000196;LONGUINI INDUSTRIA E COMERCIO DE PAVIMENTACOES LTDA
5;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Supervisão e Apoio à Fiscalização da execução de obras de duplicação em pavimento rígido da PR-412 e implantação de vias marginais, entre a ponte sobre o canal em Matinhos e a interseção com a rodovia PR-407 em Pontal do Paraná, numa extensão de 14,28 km, por Produto, no Âmbito da Superintendência Regional Leste do DER/PR. ;Homologado;10510990.56;7883240.49;33830043000153;ENECON ENGENHARIA LTDA
6;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Supervisão e Apoio à Fiscalização da Execução de obras de restauração e duplicação da PR-412, entre a divisa PR/SC até Guaratuba. ;Fase Certame;7085377.22;;;
8;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Execução dos serviços de recuperação de talude de aterro, inclusive construção de descidas d água no km 2,040 da rodovia PR-897, Contorno Viário do município de Marialva, no âmbito da Superintendência Regional Noroeste do DER/PR. ;Homologado;646674.13;379900.00;02539384000140;EXTRACON MINERAÇÃO E OBRAS LTDA.
9;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Prestação de Serviços, Manutenção e/ou Reparos e/ou Obras em Instalação Elétrica.;Homologado;75334.62;28.60;21244866000118; AUDAZ ENGENHARIA E CONSTRUÇÕES LTDA
10;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;execução de serviços técnicos de supervisão e apoio à fiscalização na análise e aprovação de projeto e execução das obras de restauração e melhorias nas rodovias PR-180 e PR-281, no trecho Dois Vizinhos a Francisco Beltrão;Fase Certame;4349775.00;;;
11;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Contratação de empresa especializada para execução do remanescente da obra de reforma da Central de Pos-Graduação do Campus Luiz Meneghel de Bandeirantes.;Homologado;766175.86;574631.91;41418315000130;VA CONSTRUCOES LTDA
12;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1; Contratacao de Empresa Especializada em Engenharia/Arquitetura para Elaboracao de Laudo Técnico Conclusivo de Avaliacao Estrutural, Projeto de Reforco Estrutural, Projeto de Reforma e de Estrutura Metálica para a Cobertura para o CAC do Campus de Paranavaí da Universidade Estadual do Paraná. ;Fase Certame;69880.13;;;
13;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Execução dos serviços para recuperação de aterro, contenção do processo erosivo e melhorias no sistema de drenagem existente. Localizado nas proximidades do km 470,350 da rodovia PR-082, no municipio de Cianorte - PR, trecho do S.R.E - Sistema Rodoviario Estadual sob o codigo 082S0320EPR, no âmbito da Superintendência Regional Noroeste do DER/PR;Homologado;909621.14;600000.00;07280975000160;ZULI CONSTRUTORA DE OBRAS LTDA 
14;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Execução de obras de contenção de águas pluviais e demais dispositivos de drenagem na rodovia PR-685 trecho Entr. PR-492 Entr. PR-559, para solucionar problemas de erosão de solo em propriedades lindeiras aos dispositivos de drenagem da rodovia PR-685, por determinação do Ministério Publico. ;Homologado;954145.21;569990.00;33864196000111;RIO LIGEIRO EMPREITEIRA DE OBRAS LTDA
15;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;"Execução das obras de implantação e pavimentação das rodovias PR-574, entre Palmitopolis e Cafelândia, e PR-575, entre Palmitopolis e Jotaesse, com extensão de 21,27 km.
";Homologado;107691020.77;95680000.00;61302961000145;CONSÓRCIO PR 574-575
16;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Elaboração de Projeto Básico de Engenharia para Restauração e Ampliação de Capacidade da Rodovia PR-218 entre Entr. PR-561 Paranavaí a Amaporã numa extensão de 33,43 km;Declarado Vencedor;2529225.48;;24011741000136;HDO ENGENHARIA E CONSULTORIA EIRELI - EPP
17;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Auditoria Independente com conhecimento técnico e especializado na prestação de serviços contínuos de Auditoria Contábil, Financeira e Atuarial para o Regime Proprio de Previdência Social do Estado do Paraná - RPPS,;Homologado;306120.00;118381.50;11254307000135;AUDIMEC AUDITORES INDEPENDENTES S/S
18;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Reforma do cels;Homologado;199015.51;166556.15;19486949000171;CIX CONSTRUTORA LTDA
20;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Elaboração de projeto técnico de prevenção a incêndio e a desastres incluso levantamento arquitetonico. DEMAIS ESPECIFICAÇOES DE ACORDO COM EDITAL E SEUS ANEXOS.;Fase Certame;1792285.47;;;
23;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Contratação Integrada de Empresa para Elaboração dos Projetos Básico e Executivo e Execução das Obras de Restauração e Duplicação da PR-412, entre a divisa de PR/SC até Guaratuba, numa extensão de 12,81 km. ;Fase Certame;;;;
24;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Contratação de empresa especializada para execução da obra de edificação do novo escritorio do IDR-Paraná no município de União da Vitoria PR, em terreno situado à Rua Professora Amazília, 747, perfazendo área construída de 254,51 metros quadrados, conforme planilha orçamentária de referência.;Homologado;879393.94;713000.00;06269548000118;Gema Engenharia LTDA
25;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Contratação de empresa especializada para execução da obra de edificação do novo escritorio do IDR-Paraná no município de Centenário do Sul-PR, em terreno situado à Rua Vereador Maziadi Felício, QD 09 Lote 12-D, com área construída de 264,21 metros quadrados, conforme planilha orçamentária de referência. ;Homologado;723382.21;576000.00;17450976000169;FN ENGENHARIA E EMPREENDIMENTOS IMOBILIARIOS LTDA 
26;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Contratação de empresa especializada para execução da obra de edificação do novo escritorio do IDR-Paraná no município de Umuarama-PR, em terreno situado à Rua Desembargador Antonio Franco Ferreira da Costa, nº 3560, Centro, com área construída de 276,38 metros quadrados, conforme planilha orçamentária de referência.;Homologado;1398403.52;978882.46;45392590000183;Criou Engenharia Ltda
27;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Execução de obra comum de engenharia referente à reforma no Edifício Sede do Departamento de Estradas de Rodagem do Paraná, no Bloco C - Restaurante e Garagem, com área aproximada de 3.600,00 m2, sito à Avenida Iguaçu, n.º 340, no município de Curitiba, Paraná. ;Fase Certame;1527689.56;;;
28;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DE SERVIÇOS, COM FORNECIMENTO DE MATERIAL, DE REFORMA DAS INSTALAÇÕES DO SETOR DE CIÊNCIAS SOCIAIS APLICADAS SESA, NO BLOCO G DO CÂMPUS SANTA CRUZ DA UNICENTRO.;Homologado;466189.65;354829.80;48691405000140;MARIN E SIMIONATO SERVICOS DE ENGENHARIA E CONSTRUTORA LTDA
29;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Contratação de empresa especializada para execução AMPLIAÇÃO DA SEÇÃO DE ESCOAMENTO DO RIO MASCATE E OBRAS COMPLEMENTARES ETAPA 01, conforme planilha orçamentária de referência constante no Anexo XIII. ;Fase Certame;;;;
31;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Contratação de empresa especializada para execução da obra de edificação do novo escritorio do IDR-Paraná no município de Realeza PR, em terreno situado à Rua Sgto. Ramires da Silva, QD 36 Lote 06, perfazendo área construída de 150,70 metros quadrados, conforme planilha orçamentária de referência. ;Fase Certame;804246.84;;;
32;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;O prazo de execução do contrato é de 450 (quatrocentos e cinquenta) dias, contados a partir da data estabelecida na Ordem de Serviço.;Homologado;16705960.18;23.70;09245019000172;MATT - CONSTRUTORA DE OBRAS LTDA
33;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Contratação de Consultoria Especializada visando realizar a Avaliação dos Resultados do Programa Estratégico de Infraestrutura e Logística de Transportes do Paraná, realizado mediante financiamento com Banco Interamericano de Desenvolvimento - BID. ;Fase Certame;;;;
35;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1; 	CONTRATAÇÃO DE PESSOA JURÍDICA ESPECIALIZADA NO SEGMENTO HOSPITALAR, OBJETIVANDO A PRESTAÇÃO DE SERVIÇOS MÉDICOS, EQUIPE MULTIDISCIPLINAR ASSISTENCIAL, FORNECIMENTO DE EQUIPAMENTOS, DE FORMA COMPLEMENTAR E ACESSÓRIOS MÉDICO HOSPITALARES COM MANUTENÇÃO PREVENTIVA E CORRETIVA DOS RESPECTIVOS EQUIPAMENTOS, OPME, INSTRUMENTAIS CIRÚRGICOS, INSUMOS HOSPITALARES, MEDICAMENTOS E SERVIÇOS COMPLEMENTARES COM LAUDOS PARA DIAGNÓSTICO E TRATAMENTO, VISANDO O ATENDIMENTO DOS USUÁRIOS DO SISTEMA ÚNICO DE SAÚDE NO HOSPITAL REGIONAL DO CENTRO OESTE HRCO, PELO PERÍODO DE 24 VINTE E QUATRO MESES ;Fase Certame;82546137.12;;;
36;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Execução das obras de recuperação, reforço e reabilitação da ponte sobre o rio Jordão, na rodovia PR-170, em Guarapuava, numa extensão total de 158,80 metros. ;Fase Certame;14286943.82;;;
38;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;elaboração do Estudo de Impacto Ambiental - EIA e o respectivo Relatorio de Impacto Ambiental -RIMA, Anteprojeto de engenharia, demais estudos ambientais e documentos necessarios para o Licenciamento Ambiental Previo para as obras de pavimentação da rodovia PR-405, trecho Guaraqueçaba ao Entroncamento da PR-340 - Cacatu, numa extensão de aproximadamente 80 km. ;Fase Certame;8651916.73;;;
39;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Elaboração dos Projetos Basico e Executivo e Execução das Obras de Implantação do Trevo de Acesso ao Hospital Regional de Cornelio Procopio e Melhorias na PR-160, numa extensão de 0,54 km. ;Fase Certame;;;;
40;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;"Programa Conexoes Seguras - Superintendência Regional Leste, composto por 42 interseçoes
";Fase Certame;2809965.66;;;
40;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);2;"Programa Conexoes Seguras - Superintendência Regional Campos Gerais, composto por 38 interseçoes
";Fase Certame;2496504.38;;;
40;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);3;"Programa Conexoes Seguras - Superintendência Regional Norte, composto por 42 interseçoes
";Fase Certame;2812508.48;;;
40;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);4;"Programa Conexoes Seguras - Superintendência Regional Noroeste, composto por 33 interseçoes
";Fase Certame;2198575.04;;;
40;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);5;"Programa Conexoes Seguras - Superintendência Regional Oeste, composto por 46 interseçoes
";Fase Certame;3074903.88;;;
41;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;supervisão e apoio à fiscalização das obras de implantação do Contorno Noroeste de Pato Branco - Lote 2, entre as rodovias PR-493 e PRC-158, numa extensão total de 14,34 km.;Fase Certame;9478502.53;;;
42;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;"Escritorio Regional Norte Velho e Escritorio Regional Norte Pioneiro da Superintendência Regional Norte, numa extensão de 353,37 km
";Fase Certame;3363117.29;;;
42;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);2;"Escritorio Regional Vale do Ivaí  e Escritorio Regional Vale do Tibagi da Superintendência Regional Norte, numa extensão de 196,39 km
";Fase Certame;2200869.23;;;
42;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);3;"Superintendência Regional Noroeste, numa extensão de 221,10 km
";Fase Certame;2528536.88;;;
42;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);4;"Escritorio Regional Sede Oeste, numa extensão de 373,45 km
";Fase Certame;3635807.57;;;
42;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);5;"Escritorio Regional Centro Sudoeste e Escritorio Regional Vale do Chopim da Superintendência Regional Oeste, numa extensão de 309,25 km
";Fase Certame;3085970.66;;;
43;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Supervisão e Apoio à Fiscalização da Execução das Obras de Restauração e Ampliação de Capacidade da PRC-466, entre a Subestação Ivaiporã Furnas e Pitanga, e das PR-487 e PR-460, entre a Ponte sobre o Rio Muquilão e Pitanga,;Fase Certame;15266768.68;;;
44;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Serviços de arquitetura e engenharia para elaboraçao de plano diretor, projeto arquitetonico legal e executivo, composto de Projetos Executivos Memorial Descritivo e Planilha de quantitativo de todos os materiais. Projeto Legal de Arquitetura com base nas legislaçoes municipais, estaduais e federais vigentes. Apresentar aprovaçoes pertinentes;Anulado;1853517.76;;;
46;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Elaboração dos Projetos Básico e Executivo e Execução das Obras de Duplicação e Ampliação de Capacidade da Rodovia PR-092 Rodovia dos Minérios, entre a área urbana de Almirante Tamandaré e o Jardim Areias, numa extensão de aproximadamente 8,30 km. ;Publicado;;;;
48;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;Lote 01 - CONFERÊNCIAS (IGUALDADE, DPPM, CEDIPI);Homologado;3066615.00;2432419.97;26949503000100;SCRIPT ASSESSORIA DE EVENTOS E PESQUISA LTDA
50;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NO SEGMENTO HOSPITALAR, OBJETIVANDO A IMPLANTAÇÃO E OPERACIONALIZAÇÃO DE 56 LEITOS;Fase Certame;49961158.32;;;
51;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DE SERVIÇOS, COM FORNECIMENTO DE MATERIAL, DE REFORMA DA INCUBADORA TECNOLÓGICA DE GUARAPUAVA, INTEG, NO CÂMPUS CEDETEG DA UNICENTRO.;Homologado;161997.27;128000.00;21481632000194;T.R.CALIXTO CONSTRUTORA LTDA
53;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE SERVIÇOS, COM FORNECIMENTO DE MATERIAL, DE REFORMA DO DEPARTAMENTO DE PEDAGOGIA DO CÂMPUS SANTA CRUZ DA UNICENTRO.;Fase Certame;370408.90;;;
54;2025;Concorrência Eletrônica (Lei Federal 14.133/2021);1;prestação de serviços técnicos especializados à Coordenadoria Técnica e subsídios à fiscalização dos programas e projetos nas rodovias estaduais. ;Fase Certame;27353845.70;;;
