numprocesso;ano;modalidade;situacao;objeto;orgao;registrodepreco;vigenciaata;revogacaoata;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;localdisputa;idlicitacoes;protocolo;tempoprazocontrato
9;2024;Chamamento Público;Fase Certame;Chamamento público para a qualificação das empresas que manifestem interesse em celebrar parceria de negócio com a Celepar, seja de natureza contratual, associativa ou societária, para agregar as suas soluções e produtos, componente de inteligência artificial  que realize processamento para reconhecimento e identificação facial em streaming de vídeos com solução de software agnóstica, desenvolvida para serem compatíveis e executadas em diversas tecnologias de hardware para coleta de vídeos, sem estarem vinculados a algum fabricante ou marca específica, conforme condições e exigências estabelecidas neste edital e seus anexos.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Não;;;-;;;2024-07-29;;;;223064094;
10;2024;Chamamento Público;Homologado;Chamamento Público sem ônus para o DETRAN-PR, visando captar empresas interessadas em celebrar Acordo de Cooperação com o Detran-PR, para organização do evento público -  Placa Preta 2024, que tem como intuito, homenagear os colecionadores de carros antigos, com foco principal em evidenciar o protagonismo feminino, a ação faz parte das atividades da Semana Nacional de Trânsito.;DETRAN-Departamento de Trânsito do Estado do Paraná;Não;;;-;0.00;0.00;2024-08-06;2024-08-22;;;218141790;
11;2024;Chamamento Público;Fase Certame;"A presente Consulta Pública visa consultar eventuais interessados para colaborarem no Estudo Técnico Preliminar a ser elaborado pela Divisão de Transporte Aéreo da Casa Militar, DTA/CM, visando subsidiar o aperfeiçoamento do Termo de Referência relativo a metodologia para contratação de empresa de arrendamento mercantil, sob a égide da Lei nº 9.099/74, para arrendamento de aeronave nova ou seminova, com opção de compra ao final do pagamento das contraprestações.
I - A contratação pretendida incluí
II -  Leasing financeiro com financiamento integral do bem escolhido pela administração,
III - Diluição do valor no maior número de parcelas possível, com possibilidade de contrato em dólares IV - Opção de compra com a quitação, e
V - Carência de 03 meses.";CASA MILITAR-Casa Militar do Estado do Paraná;Não;;;Maior Desconto;0.00;;2024-09-04;;;;223882374;
12;2024;Chamamento Público;Fase Certame;CHAMAMENTO PÚBLICO PARA CREDENCIAMENTO DE RESTAURANTES NO MUNICÍPIO DE GUARAPUAVA PARA USO INSTITUCIONAL DA UNIVERSIDADE ESTADUAL DO CENTRO-OESTE - UNICENTRO.;UNICENTRO-Universidade Estadual do Centro-Oeste;Não;;;-;;;2025-07-31;;;;220436306;1 Parcela(s) - Empreitada/Global
13;2024;Chamamento Público;Fase Certame;CHAMAMENTO PÚBLICO PARA CREDENCIAMENTO DE RESTAURANTES NO MUNICÍPIO DE IRATI PARA USO INSTITUCIONAL DA UNIVERSIDADE ESTADUAL DO CENTRO-OESTE - UNICENTRO;UNICENTRO-Universidade Estadual do Centro-Oeste;Não;;;-;;;2025-07-31;;;;220436500;1 Parcela(s) - Empreitada/Global
14;2024;Chamamento Público;Fase Certame;Contratação de 12 atores e atrizes profissionais para integrar o elenco da próxima montagem do Teatro de Comédia do Paraná - TCP;CCTG-Centro Cultural Teatro Guaira;Não;;;-;;;2024-09-30;;;;224803958;5 Mês(es)
16;2024;Chamamento Público;Publicado;Edital de Chamamento Público é o credenciamento de pessoas físicas para prestação de serviços por escopo, por período predeterminado, em observância aos requisitos mínimos e aos valores estabelecidos neste edital e seus anexos.;PRESP-Paraná Esporte (Antigo IPCE);Não;;;-;;;2025-10-09;;;;226724320;1 Ano(s)
17;2024;Chamamento Público;Homologado;Credenciamento para o Programa Parceiro da Escola.;SEED-Secretaria de Estado da Educação;Não;;;-;2049846775.68;1044829727.36;2024-12-07;2024-12-19;;;227379901;
18;2024;Chamamento Público;Fase Certame;CHAMAMENTO PÚBLICO DE NUTRICIONISTA PARA ATUAR NO HOSPITAL UNIVERSITÁRIO DE LONDRINA.;UEL-Universidade Estadual de Londrina;Não;;;-;;;2024-12-04;;;;220640485;
1;2024;Comparação de Preços (Shopping);Homologado;Contratação de empresa especializada em organização de eventos visando a execução e acompanhamento de todas as atividades de infraestrutura logística e operacional, com vistas à realização da V Semana da Conscientização Tributária, XXV Seminário Paranaense de Educação Fiscal e IV Semana Paranaense de Transparência Fazendária, a ser realizado no dia 12 de novembro de 2024, no Canal da Música, em Curitiba/PR, conforme condições, especificações técnicas, requisitos e quantitativos definidos no Termo de Referência;SEFA-Secretaria de Estado da Fazenda;Não;;;Menor Preço;;;2024-10-29;2024-11-01;;;227160691;1 Parcela(s) - Empreitada/Global
2;2024;Comparação de Preços (Shopping);Homologado;Contratação de empresa especializada em organização de eventos visando a execução e acompanhamento de todas as atividades de infraestrutura logística e operacional, com vistas à realização da 195ª Reunião Ordinária do Conselho Nacional de Política Fazendária CONFAZ e 47ª Reunião Ordinária do COMSEFAZ, em Foz do Iguaçu/PR, nos dias 04 a 06 de dezembro de 2024.;SEFA-Secretaria de Estado da Fazenda;Não;;;Menor Preço;483836.47;385190.80;2024-10-30;2024-11-04;;;227843799;1 Parcela(s) - Empreitada/Global
1;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa para a execução de obra comum de engenharia, construção de muro de arrimo no Escritório Regional do DER/PR, nominado Vale do Chopim, situado á Avenida Sete de Setembro, nº 363,  município de Pato Branco, Paraná.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;86105.41;;2024-03-13;2024-04-08;;;209605724;
2;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Cancelado;Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466 entre o entroncamento da Rodovia Municipal em Palmeirinha e o início da pista dupla em Guarapuava, numa extensão total de 11,52 km.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;120459821.90;;;;;;215944417;
3;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa para execução das obras de implantação da rodovia PR-990, entre a PR-364 e a cidade de Rebouças, numa extensão de 12,60 km.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;101396876.92;;2024-03-19;2024-05-07;;;216131428;
4;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;"Execução das obras de duplicação e restauração da rodovia PR-170/PRC-466
entre o entroncamento da Rodovia Municipal em Palmeirinha e o início da pista dupla em
Guarapuava, numa extensão total de 11,52 km";DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;120459821.90;;2024-03-18;2024-07-02;;;215944417;
6;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada em engenharia e/ou arquitetura para serviço de elaboração de Laudo Técnico Conclusivo de Avaliação Estrutural para a Edificação do Campus de Apucarana - da Unespar;UNESPAR-Universidade Estadual do Paraná;Não;;;Menor Preço;49595.49;;2024-04-09;2024-05-22;;;180101705;
7;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Fase Certame;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DA PRAÇA INTERNA ENTRE OS BLOCOS A, E, D E H DO CÂMPUS SANTA CRUZ DA UNICENTRO, EM GUARAPUAVA-PR, COM RECURSOS PRÓPRIOS.;UNICENTRO-Universidade Estadual do Centro-Oeste;Não;;;Menor Preço;285583.30;;2024-05-21;;;;216882440;
8;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa para a prestação de Serviços de Engenharia de Reforma na Superintendência Regional Campos Gerais do DER, localizada na Avenida Presidente Kennedy, rodovia BR-376 Km 493 - 700 metros, CEP 84043-540, com área aproximada de 6.651,15 m2.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;1554100.26;;2024-03-20;2024-04-08;;;213162870;
9;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada para execução de obra de restauro do Monumento Rodoviário Poty Lazzarotto, localizado no Entroncamento da PRC 280, Trevo da CODAPAR, no município de Palmas, Paraná.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;210940.17;;2024-05-03;2024-06-25;Avenida Iguaçu 420 Terreo Rebouças Curitiba PR 80230020;;201574781;
10;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Edital de licitação na modalidade de concorrência para contratação de empresa especializada em serviços de engenharia, abrangendo confecção de projetos, laudos e execução de serviços de reforma predial, incluindo fornecimento de materiais, no campi de Paranavaí da UNESPAR. Este edital está fundamentado na Lei Federal 14.133/2021 e no Decreto Estadual 10.086/2022.;UNESPAR-Universidade Estadual do Paraná;Não;;;Menor Preço;21040.45;;2024-04-22;2024-05-27;;;201051487;
11;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Empreitada para regularização do Termo de Compromisso de Ajustamento de Conduta TCAC, do Corpo de bombeiros - campus de cascavel;UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria;Não;;;Menor Preço;2737599.06;;2024-09-04;2024-10-07;;;218611192;
12;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;CONTRATACAO DE EMPRESA PARA ELABORACAO DE PROJETOS COMPLEMENTARES, ORCAMENTO E EXECUCAO DE REFORMA DO ANTIGO PRONTO SOCORRO OBSTETRICO PARA INSTALACAO DE UM EQUIPAMENTO DE RESSONANCIA MAGNETICA COM AREA DE 250,45 METROS QUADRADO;UEL-Universidade Estadual de Londrina;Não;;;Menor Preço;2009116.45;;2024-06-18;2024-07-08;;;218332544;
14;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Revogado;"Contratação dos serviços de Supervisão e apoio à gestão e à fiscalização de projetos, estudos,
contratos, convênios e termos de cooperação desenvolvidos e ou firmados pela Secretaria de
Infraestrutura e Logística do Estado do Paraná, no âmbito dos modais de transporte com
ênfase no aquaviário e no ferroviário, bem como o apoio à modelagem técnica, jurídica,
econômico-financeira e socioambiental para exploração da infraestrutura de transporte dos
referidos modais, de acordo com o estabelecido no Anexo XIV Termo de Referência deste Edital
e demais documentos da licitação.";SEIL-Secretaria de Estado da Infraestrutura e Logística;Não;;;Técnica e Preço;5978655.36;;2024-05-28;;;;207152137;
15;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DO BLOCO P DO ARQUIVO HISTÓRICO MUNICIPAL E CENTRO DE DOCUMENTAÇÃO E MEMÓRIA DA UNICENTRO, NO CÂMPUS SANTA CRUZ, COM RECURSOS DO TC 18/23 SETI.;UNICENTRO-Universidade Estadual do Centro-Oeste;Não;;;Menor Preço;130282.50;;2024-06-06;2024-06-20;;;219292252;
16;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Fase Certame;"1.1 O objeto do concurso é a seleção do melhor Estudo Preliminar do Projeto de Arquitetura para um Planetário com posterior contratação de seu autor para elaboração de todos os projetos legais e executivos, visando sua construção no Parque da Ciência Newton Freire Maia, espaço público, de caráter científico, educacional, cultural e turístico, com área aproximada de 23.810,00m,  localizado  na  Estrada da Graciosa, 7400,  Jardim Boa Vista, Pinhais/PR, CEP 83.327-000, conforme Termo de Referência Anexo VII e demais elementos técnicos instrutores compõem este Edital.
1.2 O Estudo Preliminar do Projeto de Arquitetura deverá apresentar conceitos que ofertem uma visão arquitetônica única e inovadora do Planetário, assegurando que este se torne um marco educacional, cultural, turístico e científico na região.
1.3 	A seleção do objeto levará em consideração o Estudo Preliminar do Projeto de Arquitetura mais adequado, funcional, esteticamente belo e exequível, com respeito à liberdade de proposição pelos concorrentes, porém condicionado aos parâmetros, determinações e orientações presentes neste Edital e seus anexos.
";FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Não;;;Menor Preço;338198.71;;2024-05-28;;Rua dos Funcionários 1323 www.gov.br/compras Cabral Curitiba PR 80035050;;216604644;
17;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de Elaboração de Anteprojeto de Engenharia para Duplicação com Marginais  da Rodovia PR-218, entre KM 237,72 -final da pista dupla em Arapongas e o KM 247,72 - acesso à Sabáudia, numa extensão de 10,40 km.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;1027505.93;;2024-06-03;2024-10-16;;;218730469;
18;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Empreitada por preço unitário, para a reforma de banheiros do Bloco I - 1º andar, e adequações para substituição de elevador na Universidade Estadual do Oeste do Paraná - UNIOESTE Campus de Marechal Cândido Rondon.;UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria;Não;;;Menor Preço;303004.34;;2024-06-03;2024-06-04;;;218864350;
19;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada em serviços de engenharia para Ampliação do Colégio Estadual Marechal Arthur da Costa e Silva, situado na Rua Vereador José Teixeira Alves, 171, fone 44 3435-1246, no Município de Planaltina do Paraná, Estado do Paraná;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Não;;;Maior Desconto;652423.54;;2024-05-23;2024-06-21;;;210019197;
21;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA EXECUÇÃO DA OBRA DE
CONSTRUÇÃO DO NOVO BLOCO";FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná;Não;;;Menor Preço;9887554.01;9022000.00;2024-08-12;2024-12-04;;;216735609;
22;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Revogado;"Contratação de apoio à Coordenadoria Técnica no desempenho de suas atribuições, realizando serviços auxiliares, de apoio, instrumentais e/ou acessórios necessários para a fiscalização e controle de qualidade dos estudos, anteprojetos e projetos cujo exame seja atribuição da
Coordenadoria e dos fiscais correspondentes, com base na Lei nº 14.133/2021 e no Decreto nº 10.086/2022.";DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Técnica e Preço;15646194.10;;2024-06-07;;;;219226152;
23;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;CONCESSÃO DE USO DE ESPAÇO PARA INSTALAÇÃO DE RESTAURANTE NO CÂMPUS DE IRATI DA UNICENTRO.;UNICENTRO-Universidade Estadual do Centro-Oeste;Não;;;Maior Desconto;12917.76;;2024-07-05;2024-08-06;;;219532598;
24;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratacao de empresa especializada em obras e servicos de engenharia para reforma e ampliacao da sede da 11a Companhia Independente de Policia Militar 11a CIPM situada a Rua dos Tres Poderes n. 164 no municipio de Cambe Parana.;SECID-Secretaria de Estado das Cidades (Antigo SEDU);Não;;;Menor Preço;2941716.90;;2024-07-26;2024-09-02;;;197207825;
25;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Revogado;"Contratação de empresa especializada para apoio à fiscalização da obra de Pavimentação das Estradas Rurais de Ligação entre São José dos Pinhais e Mandirituba, na Região Metropolitana
de Curitiba, Paraná, com extensão total de 26,61 km";AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);Não;;;Técnica e Preço;4509549.66;;2024-06-24;;;;210059067;
26;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação Integrada de Empresa para Elaboração dos Projetos Básico e  Executivo e Execução das Obras de Restauração com Melhorias das Rodovias PR-180 e PR-281, no trecho Dois Vizinhos - Francisco Beltrão, numa extensão total de 40,82 km.  ;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;120459821.90;;2024-08-02;2024-09-06;;;216090209;
27;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Execução das obras de restauração e ampliação de capacidade da rodovia PR-151, no trecho compreendido entre o entroncamento com a PR-438, km 344,51, em Ponta Grossa, e a interseção com a BR-277, km 377,22 em Palmeira, com extensão de 32,71 km.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;274558411.40;;2024-06-17;2024-08-30;;;220801292;
28;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Empreitada por preço unitário, para a reforma do Laboratório de Botânica do Campus de Cascavel, da Universidade Estadual do Oeste do Paraná - UNIOESTE - licitação exclusiva para microempresas e/ou empresas de pequeno porte.;UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria;Não;;;Menor Preço;12079.17;;2024-06-07;2024-06-27;;;201200288;
29;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação da elaboração de Estudos Preliminares e Anteprojeto, para construção do Terminal Metropolitano de Londrina, Paraná;AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);Não;;;Técnica e Preço;1059459.52;;2024-07-10;2024-08-28;;;204073309;
30;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Empreitada por preço unitário, para a reforma do Auditório da Fazenda Experimental de Entre Rios do Oeste - Campus de Marechal Cândido Rondon, da Universidade Estadual do Oeste do Paraná - UNIOESTE - licitação exclusiva para microempresas e/ou empresas de pequeno porte.;UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria;Não;;;Menor Preço;34677.77;;2024-06-28;2024-07-08;;;216305833;
31;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;"CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE REFORMA DO BLOCO E PARA INSTALAÇÃO DO NÚCLEO DE PRÁTICAS JURÍDICAS NO CÂMPUS SANTA CRUZ DA UNICENTRO, COM RECURSOS PRÓPRIOS.
";UNICENTRO-Universidade Estadual do Centro-Oeste;Não;;;Menor Preço;136789.12;;2024-10-03;2024-11-06;;;221735668;
32;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;"Contratação Integrada de Empresa para Elaboração dos Projetos Básico e Executivo e Execução das Obras de Implantação da variante da PR-498 e da Ponte sobre o Rio Ivaí, entre São Carlos do Ivaí e Japurá, numa Extensão de 1.540,00 m.									
";DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;1.00;71592000.00;2024-08-15;2024-12-18;;;221773250;
33;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada para prestação de serviços técnicos para execução de obra de reforma no prédio da Subsede da Procuradoria- Geral do Estado, com área existente de 1.156,70 metros quadrados, situado à Rua Paula Gomes n. 110, bairro São Francisco, no município de Curitiba- PR.;SECID-Secretaria de Estado das Cidades (Antigo SEDU);Não;;;Menor Preço;431694.30;;2024-07-22;2024-10-23;;;218946488;
34;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Empreitada por preço unitário, para a reforma do Anfiteatro e corredor do Centro de Imagens do Hospital Universitário do Oeste do Paraná - HUOP, da UNIOESTE.             ;UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria;Não;;;Menor Preço;153505.81;;2024-07-31;2024-08-16;;;215366863;
37;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Empreitada por preço unitário, para a construção de Quadra de Esportes no Campus de Cascavel, da Universidade Estadual do Oeste do Paraná - UNIOESTE - licitação exclusiva para microempresas e/ou empresas de pequeno porte.             ;UNIOESTE REITOR-Universidade Estadual do Oeste do Paraná - Reitoria;Não;;;Menor Preço;103023.49;;2024-07-05;2024-07-25;;;219250371;
38;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratacao de empresa de engenharia para realizacao da obra de reforma com ampliacao de area, visando a implantacao do Centro de Inovacao em Agrotecnologia no Campus Luiz Meneghel.;UENP-Universidade Estadual do Norte do Paraná;Não;;;Menor Preço;1071061.58;;2024-06-21;2024-07-04;;;216183592;
39;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa para prestação dos Serviços de Engenharia de Projeto de Instalações Elétricas e de Lógica, Projeto Técnico de Prevenção a Incêndios e Desastre - PTPID e Projeto Executivo de Adequação para Acessibilidade para a Escola Prática Educativa de Trânsito do DER, localizado na Rua das Castanheiras, nº 175, Jardim Leonor, no município de Londrina, Paraná.;DER-Departamento de Estradas de Rodagem do Estado do Paraná;Não;;;Menor Preço;21602.91;17200.00;2024-08-30;2025-02-05;Avenida Iguaçu 420 Terreo Rebouças Curitiba PR 80230020;;221813260;
