numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;proporcao_homologado_estimado;flag_sobrepreco;lead_time_dias;ano_abertura;volume_licitacoes_orgao_ano;orgao_norm;municipio_extraido;populacao;idhm;categoria_objeto;score_anomalia;score_if;score_lof;classificacao;flag_anomalia;driver_principal;z_score_driver;tipo_anomalia;driver_contexto;valor_estimado_fmt;valor_homol_fmt;proporcao_fmt;lead_time_fmt
139;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação Integrada de empresa especializada em engenharia e/ou arquitetura, para elaboração de projetos básico - ND 350, legal e executivo ND400 de arquitetura, projetos complementares de engenharia, aprovação nos órgãos competentes, As Built - ND500, e execução da obra da Torre 2 do Hospital Universitário Regional dos Campos Gerais  Wallace Thadeu de Mello e Silva, sito à R. Prof. Gabriel de Paula Machado, 601 - Uvaranas, Ponta Grossa - PR,  CEP 84031-510. Os projetos deverão ser desenvolvidos em plataforma BIM -Building Information Modeling, conforme elementos técnicos instrutores e anexos ao edital.;UEPG-Universidade Estadual de Ponta Grossa;Técnica e Preço;10707328790.0;10706000000.0;2025-04-10;2025-05-27;TB_LICITACOES-2024.csv;contratação integrada de empresa especializada em engenharia e/ou arquitetura, para elaboração de projetos básico - nd 350, legal e executivo nd400 de arquitetura, projetos complementares de engenharia, aprovação nos órgãos competentes, as built - nd500, e execução da obra da torre 2 do hospital universitário regional dos campos gerais wallace thadeu de mello e silva, sito à r. prof. gabriel de paula machado, 601 - uvaranas, ponta grossa - pr, cep 84031-510. os projetos deverão ser desenvolvidos em plataforma bim -building information modeling, conforme elementos técnicos instrutores e anexos ao edital.;0.9998758990196284;False;47.0;2025;14;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;obras;0.6312860152616308;0.9627061759432283;0.13415577423923458;Anomalia Crítica;True;gasto_per_capita_log1p;10.26;Gasto per Capita Atípico;gasto per capita muito alto;R$ 10,707,328,790;R$ 10,706,000,000;1.00×;47 dias
6;2022;Licitação Presencial - Estatal;Homologado;Contratacao de empresa s de Engenharia para realizacao, na modalidade semi integrada, da elaboracao dos projetos executivos e implantacao do empreendimento denominado Cais Leste  Moegao, que visa a centralizacao da descarga ferroviaria em uma moega exclusiva, otimizando a capacidade de recepcao e distribuição de cargas no Porto de Paranagua, segundo justificativas e especificacoes presentes no Edital, Termo de Referencia, Projeto Basico e demais elementos anexados pelo setor requisitante. ;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;59334801967.0;10.0;2022-10-05;2022-12-20;TB_LICITACOES-2022.csv;contratacao de empresa s de engenharia para realizacao, na modalidade semi integrada, da elaboracao dos projetos executivos e implantacao do empreendimento denominado cais leste moegao, que visa a centralizacao da descarga ferroviaria em uma moega exclusiva, otimizando a capacidade de recepcao e distribuição de cargas no porto de paranagua, segundo justificativas e especificacoes presentes no edital, termo de referencia, projeto basico e demais elementos anexados pelo setor requisitante.;1.6853515421795222e-10;False;76.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.6272814443231284;0.9724529343395372;0.10952420929851517;Anomalia Crítica;True;gasto_per_capita_log1p;12.89;Gasto per Capita Atípico;gasto per capita muito alto;R$ 59,334,801,967;R$ 10;0.00×;76 dias
11;2023;Convite;Homologado;Alienação de 412 animais bovinos, machos e fêmeas, descartes de pesquisa do Projeto Formação e Avaliação Genética da Raça Bovina Purunã.;IDR-Instituto de Desenvolvimento Rural do Paraná - IAPAR-EMATER;Maior Lance;16200.0;119379050.0;2023-05-28;2023-07-17;TB_LICITACOES-2023.csv;alienação de 412 animais bovinos, machos e fêmeas, descartes de pesquisa do projeto formação e avaliação genética da raça bovina purunã.;10.0;True;50.0;2023;29;idr-instituto de desenvolvimento rural do parana - iapar-emater;;;;outros;0.6250465277913222;0.6272297503349257;0.6217716939759169;Anomalia Crítica;True;sobrepreco_pct;20.0;Sobrepreço;pago 10.0× o estimado;R$ 16,200;R$ 119,379,050;10.00×;50 dias
9;2023;Concorrência Pública;Deserto;OUTORGA DE PERMISSÃO DE USO, DE ÁREA ESPECÍFICA DESTINADA À INSTALAÇÃO E EXPLORAÇÃO EM REGIME DE PERMISSÃO DE USO DE ESPAÇO PÚBLICO, PARA INSTALAÇÃO E EXPLORAÇÃO DE SERVIÇOS DE 01  CANTINA UNIVERSITÁRIA NO CAMPUS SEDE DE MARINGÁ, ESTADO DO PARANÁ;UEM-Universidade Estadual de Maringá;Maior Preço;86571.0;;2023-04-25;;TB_LICITACOES-2023.csv;outorga de permissão de uso, de área específica destinada à instalação e exploração em regime de permissão de uso de espaço público, para instalação e exploração de serviços de 01 cantina universitária no campus sede de maringá, estado do paraná;;False;;2023;121;uem-universidade estadual de maringa;Maringá;429660.0;0.681;outros;0.6229134101414067;0.6154351984084866;0.6341307277407869;Anomalia Crítica;True;valor_estimado_log1p;2.25;Valor Estimado Atípico;R$ 86,571 estimado;R$ 86,571;—;—;—
1;2020;Concorrência Pública;Homologado;Contratação  de  empresa  especializada  em  Serviços  de Levantamentos  Hidrográficos  Multifeixe, categorias  A  e  B,  conforme  padrões  estabelecidos pela  NORMAM  25,  para  realização  de  serviços nos Canais de Acesso, Bacias de Evolução,Berços de Atracação, Áreas de Fundeio, Áreas de Estudo e  Área  de  Despejo  dos  Portos  do Paraná,  tal como  as especificações contidas neste Edita;APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;755449465.0;446561388.0;2020-04-08;2020-05-28;TB_LICITACOES-2020.csv;contratação de empresa especializada em serviços de levantamentos hidrográficos multifeixe, categorias a e b, conforme padrões estabelecidos pela normam 25, para realização de serviços nos canais de acesso, bacias de evolução,berços de atracação, áreas de fundeio, áreas de estudo e área de despejo dos portos do paraná, tal como as especificações contidas neste edita;0.5911201327013978;False;50.0;2020;89;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;veiculos;0.6205674207305194;0.9451988840281373;0.13362022578409272;Anomalia Crítica;True;desvio_per_capita_categoria;10.0;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 755,449,465;R$ 446,561,388;0.59×;50 dias
248;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada para execução da obra CONSTRUÇÃO DO CENTRO ESPECIALIZADO EM REABILITAÇÃO - CER - NÍVEL IV do Hospital Universitário Regional dos Campos Gerais, Wallace Thadeu de Mello e Silva, sito à R. Prof. Gabriel de Paula Machado, 601 - Uvaranas, Ponta Grossa - PR, CEP 84031-510, conforme projetos, planilha orçamentária e termo de referência constantes nos Anexos XIII, XIV e XVIII.;UEPG-Universidade Estadual de Ponta Grossa;Maior Desconto;1217184952.0;1758.0;2025-01-23;2025-03-27;TB_LICITACOES-2024.csv;contratação de empresa especializada para execução da obra construção do centro especializado em reabilitação - cer - nível iv do hospital universitário regional dos campos gerais, wallace thadeu de mello e silva, sito à r. prof. gabriel de paula machado, 601 - uvaranas, ponta grossa - pr, cep 84031-510, conforme projetos, planilha orçamentária e termo de referência constantes nos anexos xiii, xiv e xviii.;1.4443162455396507e-06;False;63.0;2025;14;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;obras;0.6170727622595975;0.9860545992432924;0.06360000678405532;Anomalia Crítica;True;gasto_per_capita_log1p;8.08;Gasto per Capita Atípico;gasto per capita muito alto;R$ 1,217,184,952;R$ 1,758;0.00×;63 dias
36;2023;Concorrência Pública;Homologado;Concessão de espaço público para Funcionamento do Restaurante Universitário do Campus de Marechal Cândido Rondon;UNIOESTE MCROND-Universidade Estadual do Oeste do Paraná - Campus Marechal Cândido Rondon;Menor Preço;159706800.0;136263600.0;2023-07-27;2023-08-16;TB_LICITACOES-2023.csv;concessão de espaço público para funcionamento do restaurante universitário do campus de marechal cândido rondon;0.8532110091743119;False;20.0;2023;28;unioeste mcrond-universidade estadual do oeste do parana - campus marechal candido rondon;Marechal Cândido Rondon;58734.0;0.688;educacao;0.6006489890261566;0.9222846408873717;0.11819551123433383;Anomalia Crítica;True;desvio_per_capita_categoria;10.0;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 159,706,800;R$ 136,263,600;0.85×;20 dias
176;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;A presente licitação tem por objeto a prestação de serviços continuados de operadora ou agência de viagens, para cotação, reserva e emissão de passagens aéreas e rodoviárias, nacionais e internacionais, por meio de atendimento remoto e de Posto de Atendimento instalado em Curitiba Pr ou Região Metropolitana.;FA-Fundação Araucária;Menor Preço;600002200.0;;2024-04-05;2024-05-06;TB_LICITACOES-2024.csv;a presente licitação tem por objeto a prestação de serviços continuados de operadora ou agência de viagens, para cotação, reserva e emissão de passagens aéreas e rodoviárias, nacionais e internacionais, por meio de atendimento remoto e de posto de atendimento instalado em curitiba pr ou região metropolitana.;;False;31.0;2024;1;fa-fundacao araucaria;Araucária;162247.0;0.704;veiculos;0.5934929774562778;0.9492272778246428;0.05989152690373028;Anomalia Crítica;True;gasto_per_capita_log1p;8.22;Gasto per Capita Atípico;gasto per capita muito alto;R$ 600,002,200;—;—;31 dias
35;2021;Pregão Presencial;Suspenso;Contratação de empréstimo financeiro para operação de crédito, no valor de RS 515.000.000,00 -quinhentos e quinze milhões de reais-, na forma de contrato de empréstimo, cujos os recursos serão destinados para garantir o fluxo de caixa para pagamento do investimento de obra estruturante na poligonal do Porto Organizado da Portos do Paraná -Moegão de recebimento de mercadoria via modal ferroviário e transferência via dalas-.;APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;51500000000.0;;2022-03-30;;TB_LICITACOES-2021.csv;contratação de empréstimo financeiro para operação de crédito, no valor de rs 515.000.000,00 -quinhentos e quinze milhões de reais-, na forma de contrato de empréstimo, cujos os recursos serão destinados para garantir o fluxo de caixa para pagamento do investimento de obra estruturante na poligonal do porto organizado da portos do paraná -moegão de recebimento de mercadoria via modal ferroviário e transferência via dalas-.;;False;;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.5930326085607818;0.9065753215347598;0.12271853909981477;Anomalia Crítica;True;gasto_per_capita_log1p;12.75;Gasto per Capita Atípico;gasto per capita muito alto;R$ 51,500,000,000;—;—;—
2460;2022;Pregão Eletrônico;Homologado;Contratação de Seguro Compreensivo de Operador Portuário para garantia das Responsabilidade Civil e Bens Patrimoniais da APPA, conforme estabelecido no Processo SUSEP nº 15414.003688/2003-46 Anexo V e seus anexos para Administração dos Portos de Paranaguá e Antonina, conforme informações e especificações contidas no Termo de referência, anexos e demais elementos do Edital.;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;447412882.0;6191.0;2022-12-22;2022-01-06;TB_LICITACOES-2022.csv;contratação de seguro compreensivo de operador portuário para garantia das responsabilidade civil e bens patrimoniais da appa, conforme estabelecido no processo susep nº 15414.003688/2003-46 anexo v e seus anexos para administração dos portos de paranaguá e antonina, conforme informações e especificações contidas no termo de referência, anexos e demais elementos do edital.;1.3837330682847885e-05;False;0.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.590385545571709;0.9423481598621894;0.062441624135988125;Anomalia Crítica;True;desvio_per_capita_categoria;10.0;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 447,412,882;R$ 6,191;0.00×;—
14;2021;Licitação Presencial - Estatal;Deserto;Contratação de empresa -s- de Engenharia para realização na modalidade semi-integrada da elaboração dos projetos executivos e implantação do empreendimento denominado Cais Leste - Moegão;APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;45480257448.0;;2022-05-17;;TB_LICITACOES-2021.csv;contratação de empresa -s- de engenharia para realização na modalidade semi-integrada da elaboração dos projetos executivos e implantação do empreendimento denominado cais leste - moegão;;False;;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.589934650584415;0.9149557642471992;0.10240298009023878;Anomalia Crítica;True;gasto_per_capita_log1p;12.62;Gasto per Capita Atípico;gasto per capita muito alto;R$ 45,480,257,448;—;—;—
1;2024;Licitação Presencial - Estatal;Homologado;Contratação de duas agências de propaganda, para a prestação de serviços de publicidade, para atender às demandas da Administração dos Portos de Paranaguá e Antonina - APPA.;APPA-Administração dos Portos de Paranaguá e Antonina;Técnica e Preço;750000000.0;750000000.0;2024-08-20;2025-02-10;TB_LICITACOES-2024.csv;contratação de duas agências de propaganda, para a prestação de serviços de publicidade, para atender às demandas da administração dos portos de paranaguá e antonina - appa.;1.0;False;174.0;2024;22;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;comunicacao;0.5875768273164483;0.9450916168474299;0.05130464301997583;Anomalia Crítica;True;desvio_per_capita_categoria;10.0;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 750,000,000;R$ 750,000,000;1.00×;174 dias
52;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);Fase Certame;Contratação de empresa especializada para a Execução da Conclusão do bloco I24-CCH com área de 4.826,90 metros quadrados. Faz parte da contratação o fornecimento dos seguintes serviços 1 - Projetos complementares pela modelagem BIM - Hidrossanitário,  Prevenção contra incêndio,  Aproveitamento de águas pluviais,  Eletricidade,  Climatização,  e elaboração de orçamento através da planilha oficial modelo SINAPI/PR - com preços atualizados - no padrão elaborado pela UEM/PCU.;UEM-Universidade Estadual de Maringá;Menor Preço;1036722392.0;;2023-12-14;;TB_LICITACOES-2023.csv;contratação de empresa especializada para a execução da conclusão do bloco i24-cch com área de 4.826,90 metros quadrados. faz parte da contratação o fornecimento dos seguintes serviços 1 - projetos complementares pela modelagem bim - hidrossanitário, prevenção contra incêndio, aproveitamento de águas pluviais, eletricidade, climatização, e elaboração de orçamento através da planilha oficial modelo sinapi/pr - com preços atualizados - no padrão elaborado pela uem/pcu.;;False;;2023;121;uem-universidade estadual de maringa;Maringá;429660.0;0.681;servicos;0.5863135498922828;0.8986289098325906;0.11784050998182108;Anomalia Crítica;True;desvio_per_capita_categoria;8.98;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 1,036,722,392;—;—;—
1088;2021;Pregão Eletrônico;Homologado;Contratação  através  do  sistema  de  registro  de  preços  de empresa  especializada  no  fornecimento  de  materiais  mecânicos  e  elétricos  para  atendimento  às necessidades   de   manutenção   do Terminal   Público   de   Fertilizantes   (TEFER)   e   Silo   Público   da Administração  dos  Portos  de  Paranaguá  e  Antonina  por  um  período  de  12  (doze)  meses;APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;1325602619.0;346000000.0;2021-09-22;2021-11-18;TB_LICITACOES-2021.csv;contratação através do sistema de registro de preços de empresa especializada no fornecimento de materiais mecânicos e elétricos para atendimento às necessidades de manutenção do terminal público de fertilizantes (tefer) e silo público da administração dos portos de paranaguá e antonina por um período de 12 (doze) meses;0.2610133648204568;False;57.0;2021;73;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;agricultura;0.5859337431149095;0.9169870090011356;0.08935384428557053;Anomalia Crítica;True;desvio_per_capita_categoria;10.0;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 1,325,602,619;R$ 346,000,000;0.26×;57 dias
142;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada para execução da Conclusão do Bloco das Engenharias do Campus Regional de Umuarama, localizado na Avenida Ângelo Moreira da Fonseca nº 1800, no Município de Umuarama, Paraná;UEM-Universidade Estadual de Maringá;Menor Preço;1059385212.0;;2024-10-18;2024-11-29;TB_LICITACOES-2024.csv;contratação de empresa especializada para execução da conclusão do bloco das engenharias do campus regional de umuarama, localizado na avenida ângelo moreira da fonseca nº 1800, no município de umuarama, paraná;;False;42.0;2024;227;uem-universidade estadual de maringa;Maringá;429660.0;0.681;servicos;0.5837364726194962;0.8945339677672562;0.11754022989785627;Anomalia Crítica;True;desvio_per_capita_categoria;9.18;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 1,059,385,212;—;—;42 dias
25;2024;Credenciamento;Fase Certame;CHAMAMENTO PÚBLICO PARA CREDENCIAMENTO DE EMPRESAS ESPECIALIZADAS PARA EXECUÇÃO DE SERVIÇOS DE INSTALAÇÃO, DESINSTALAÇÃO, MANUTENÇÃO CORRETIVA E SERVIÇO DE LIMPEZA EM APARELHOS DE CONDICIONADORES DE AR, EM ATENDIMENTO AS NECESSIDADES DO CÂMPUS SEDE DA UEM, FEI E TODAS AS SUAS EXTENSÕES - UMUARAMA, CIANORTE, GOIOERÊ, CIDADE GAÚCHA, DIAMANTE DO NORTE E IVAIPORÃ.;UEM-Universidade Estadual de Maringá;-;364212740.0;;2024-08-20;;TB_LICITACOES-2024.csv;chamamento público para credenciamento de empresas especializadas para execução de serviços de instalação, desinstalação, manutenção corretiva e serviço de limpeza em aparelhos de condicionadores de ar, em atendimento as necessidades do câmpus sede da uem, fei e todas as suas extensões - umuarama, cianorte, goioerê, cidade gaúcha, diamante do norte e ivaiporã.;;False;;2024;227;uem-universidade estadual de maringa;Maringá;429660.0;0.681;limpeza;0.5831224784251705;0.8882861353686382;0.12537699300996918;Anomalia Crítica;True;desvio_per_capita_categoria;9.72;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 364,212,740;—;—;—
