numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;diferenca_valor;variacao_percentual;proporcao_homologado_estimado;flag_homologado_acima_estimado;flag_houve_desconto;lead_time_dias;criterio_menor_preco;flag_situacao_certame;flag_informatica
5;2025;Credenciamento;Fase Certame;Credenciamento de interessadas com estabelecimento situado na cidade de Curitiba e Região Metropolitana, para a prestação de serviços médico-hospitalares, aos usuários do Sistema de Saúde da Polícia Militar do Paraná - AMBULATÓRIO, INTERNAMENTO E ATENDIMENTO ESPECIALIZADO, em apoio ao Hospital da Polícia Militar - HPM.;PMPR-HPM-Hospital da Polícia Militar - SESP;-;717459680.0;;2025-03-14;;TB_LICITACOES-2025.csv;credenciamento de interessadas com estabelecimento situado na cidade de curitiba e região metropolitana, para a prestação de serviços médico-hospitalares, aos usuários do sistema de saúde da polícia militar do paraná - ambulatório, internamento e atendimento especializado, em apoio ao hospital da polícia militar - hpm.;0.0;0.0;0.0;False;True;0.0;False;True;True
6;2025;Credenciamento;Fase Certame;Credenciamento de interessadas, com estabelecimento situado na cidade de Curitiba e Região Metropolitana, para a prestação de serviços médico-hospitalares aos usuários do Sistema de Saúde da Polícia Militar do Paraná, nas áreas de MATERNIDADE, UTI NEONATAL E GINECOLOGIA, em apoio ao Hospital da Polícia Militar - HPM.;PMPR-HPM-Hospital da Polícia Militar - SESP;-;488335884.0;;2025-03-14;;TB_LICITACOES-2025.csv;credenciamento de interessadas, com estabelecimento situado na cidade de curitiba e região metropolitana, para a prestação de serviços médico-hospitalares aos usuários do sistema de saúde da polícia militar do paraná, nas áreas de maternidade, uti neonatal e ginecologia, em apoio ao hospital da polícia militar - hpm.;0.0;0.0;0.0;False;True;0.0;False;True;True
7;2025;Credenciamento;Fase Certame;Credenciamento de interessadas, com estabelecimento situado na cidade de Curitiba e Região Metropolitana, para a prestação de serviços médico hospitalares aos usuários do Sistema de Saúde da Polícia Militar do Paraná, na área de Plantões Médicos nas dependências do HPM, em apoio ao Hospital da Polícia Militar - HPM.;PMPR-HPM-Hospital da Polícia Militar - SESP;-;350427600.0;;2025-03-26;;TB_LICITACOES-2025.csv;credenciamento de interessadas, com estabelecimento situado na cidade de curitiba e região metropolitana, para a prestação de serviços médico hospitalares aos usuários do sistema de saúde da polícia militar do paraná, na área de plantões médicos nas dependências do hpm, em apoio ao hospital da polícia militar - hpm.;0.0;0.0;0.0;False;True;0.0;False;True;True
11;2025;Credenciamento;Fase Certame;Credenciamento de interessadas, com estabelecimento situado na cidade de Curitiba e Região Metropolitana, para a prestação de serviços médico-hospitalares aos usuários do Sistema de Saúde da Polícia Militar do Paraná, na área de Hemodinâmica, Cirurgia Cardíaca e Cirurgia Vascular, em apoio ao Hospital da Polícia Militar.;PMPR-HPM-Hospital da Polícia Militar - SESP;-;582238810.0;;2025-03-28;;TB_LICITACOES-2025.csv;credenciamento de interessadas, com estabelecimento situado na cidade de curitiba e região metropolitana, para a prestação de serviços médico-hospitalares aos usuários do sistema de saúde da polícia militar do paraná, na área de hemodinâmica, cirurgia cardíaca e cirurgia vascular, em apoio ao hospital da polícia militar.;0.0;0.0;0.0;False;True;0.0;False;True;True
12;2025;Credenciamento;Fase Certame;Credenciamento de interessadas, com estabelecimento situado na cidade de Curitiba e Região Metropolitana, para a prestação de serviços médico-hospitalares aos usuários do Sistema de Saúde da Polícia Militar, na área de Exames Complementares, em apoio ao Hospital da Polícia Militar do Paraná.;PMPR-HPM-Hospital da Polícia Militar - SESP;-;1236434580.0;;2025-03-28;;TB_LICITACOES-2025.csv;credenciamento de interessadas, com estabelecimento situado na cidade de curitiba e região metropolitana, para a prestação de serviços médico-hospitalares aos usuários do sistema de saúde da polícia militar, na área de exames complementares, em apoio ao hospital da polícia militar do paraná.;0.0;0.0;0.0;False;True;0.0;False;True;True
16;2025;Credenciamento;Homologado;"Contratação de empresa especializada na prestação de serviços de administração,
gerenciamento, emissão e distribuição de benefício de vales alimentação, por meio de
cartão eletrônico com chip, com senha pessoal, e rede de arranjo aberto, para atender
aos empregados, diretores e servidores cedidos da PARANAPREVIDÊNCIA";PRPREV-Serviço Social Autônomo PARANAPREVIDENCIA;-;197904330.0;197904330.0;2025-04-10;2025-06-11;TB_LICITACOES-2025.csv;contratação de empresa especializada na prestação de serviços de administração, gerenciamento, emissão e distribuição de benefício de vales alimentação, por meio de cartão eletrônico com chip, com senha pessoal, e rede de arranjo aberto, para atender aos empregados, diretores e servidores cedidos da paranaprevidência;0.0;0.0;1.0;False;False;62.0;False;False;True
1;2025;Licitação Eletrônica - Estatal;Homologado;Prestação de serviços de aquisição e gerenciamento de abastecimento de combustíveis para veículos, Etanol e Gasolina comum, por meio de sistema integrado e informatizado com a utilização de cartão de pagamento magnético, microprocessado - chip ou TAG - RFID;COHAPAR-Companhia de Habitação do Paraná;Maior Desconto;113220000.0;451.0;2025-02-12;2025-02-19;TB_LICITACOES-2025.csv;prestação de serviços de aquisição e gerenciamento de abastecimento de combustíveis para veículos, etanol e gasolina comum, por meio de sistema integrado e informatizado com a utilização de cartão de pagamento magnético, microprocessado - chip ou tag - rfid;113219549.0;99.99960166048402;3.983395159865748e-06;False;True;7.0;False;False;True
2;2025;Licitação Eletrônica - Estatal;Homologado;Fornecimento de licenca do software Bitrix24 para gestao do relacionamento com clientes CRM  Customer Relationship Management na versao Professional para 100 usuarios. ;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;1342800.0;1342800.0;2025-02-25;2025-03-13;TB_LICITACOES-2025.csv;fornecimento de licenca do software bitrix24 para gestao do relacionamento com clientes crm customer relationship management na versao professional para 100 usuarios.;0.0;0.0;1.0;False;False;16.0;True;False;True
4;2025;Licitação Eletrônica - Estatal;Homologado;Contratacao de empresa para o fornecimento em dois lotes de certificados digitais para servidores de aplicacao.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;156372000.0;105000000.0;2025-02-19;2025-05-05;TB_LICITACOES-2025.csv;contratacao de empresa para o fornecimento em dois lotes de certificados digitais para servidores de aplicacao.;51372000.0;32.852428823574556;0.6714757117642545;False;True;75.0;True;False;True
7;2025;Licitação Eletrônica - Estatal;Fracassado;Contratação de Companhia Seguradora para formalização de Seguro Habitacional, através de Apólice de Mercado SH/AM específica dos Ramos 61 e 65, de acordo com o disposto no Anexo da Circular CNSP nº 447 de 10 de outubro de 2022, para os adquirentes de imóveis comercializados pela COHAPAR, fora do Sistema Financeiro da Habitação - SFH, produzidos ou em produção.;COHAPAR-Companhia de Habitação do Paraná;Menor Preço;;;2025-02-27;;TB_LICITACOES-2025.csv;contratação de companhia seguradora para formalização de seguro habitacional, através de apólice de mercado sh/am específica dos ramos 61 e 65, de acordo com o disposto no anexo da circular cnsp nº 447 de 10 de outubro de 2022, para os adquirentes de imóveis comercializados pela cohapar, fora do sistema financeiro da habitação - sfh, produzidos ou em produção.;0.0;0.0;0.0;False;True;0.0;True;False;True
12;2025;Licitação Eletrônica - Estatal;Homologado;Contratação de pessoa jurídica para prestação de serviços de subscrição de solução de segurança de aplicações contendo plataforma AST - Application Security Testing para análise estática de vulnerabilidades SAST -  Static Application Security Testing e de componentes open-source SCA - Software Composition Analysis de código-fonte de softwares, nas modalidades on-premise ou SaaS-nuvem, e serviços de subscrição de plataforma de capacitação em Desenvolvimento Seguro na modalidade SaaS-nuvem, com direito ao licenciamento, suporte técnico remoto, atualizações e ativação das plataformas, respeitadas as especificações técnicas, quantidades e períodos descritos no edital e seus anexos.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;809984655.0;331800000.0;2025-04-17;2025-09-10;TB_LICITACOES-2025.csv;contratação de pessoa jurídica para prestação de serviços de subscrição de solução de segurança de aplicações contendo plataforma ast - application security testing para análise estática de vulnerabilidades sast - static application security testing e de componentes open-source sca - software composition analysis de código-fonte de softwares, nas modalidades on-premise ou saas-nuvem, e serviços de subscrição de plataforma de capacitação em desenvolvimento seguro na modalidade saas-nuvem, com direito ao licenciamento, suporte técnico remoto, atualizações e ativação das plataformas, respeitadas as especificações técnicas, quantidades e períodos descritos no edital e seus anexos.;478184655.0;59.03626100175935;0.4096373899824065;False;True;146.0;True;False;True
13;2025;Licitação Eletrônica - Estatal;Homologado;Contratação de Pessoa Jurídica especializada para fornecer serviços de DBAs Oracle, incluindo suporte técnico, sustentação e treinamento/mentoria conforme a demanda da equipe interna da Celepar, com profissionais alocados para atender às necessidades imediatas da empresa.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;550003200.0;258000000.0;2025-04-25;2025-05-19;TB_LICITACOES-2025.csv;contratação de pessoa jurídica especializada para fornecer serviços de dbas oracle, incluindo suporte técnico, sustentação e treinamento/mentoria conforme a demanda da equipe interna da celepar, com profissionais alocados para atender às necessidades imediatas da empresa.;292003200.0;53.091182014941005;0.46908817985059;False;True;24.0;True;False;True
18;2025;Licitação Eletrônica - Estatal;Homologado;Aquisição em Lote Único de 21 dispositivos móveis tipo tablets com 36 meses de garantia, nos termos do edital e seus anexos.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;15750000.0;15399993.0;2025-04-16;2025-06-03;TB_LICITACOES-2025.csv;aquisição em lote único de 21 dispositivos móveis tipo tablets com 36 meses de garantia, nos termos do edital e seus anexos.;350007.0;2.222266666666667;0.9777773333333334;False;True;48.0;True;False;True
21;2025;Licitação Eletrônica - Estatal;Homologado;Contratação de pessoa jurídica para fornecimento de licenças do software SketchUp Studio, com licença em 12 meses a partir do dia 07/08/2025, nos termos do edital e seus anexos.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;1133200.0;1129800.0;2025-05-26;2025-06-12;TB_LICITACOES-2025.csv;contratação de pessoa jurídica para fornecimento de licenças do software sketchup studio, com licença em 12 meses a partir do dia 07/08/2025, nos termos do edital e seus anexos.;3400.0;0.3000352982703848;0.9969996470172962;False;True;17.0;True;False;True
27;2025;Licitação Eletrônica - Estatal;Homologado;"Módulo de Memória para Upgrade de Servidor PowerEdge R650 Dell 32GB - 2Rx4 DDR4 RDIMM 3200 MT/s 8 Gb BASE, incluindo serviços de instalação, configuração e ativação.
";CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;26547200.0;26499968.0;2025-06-05;2025-07-15;TB_LICITACOES-2025.csv;módulo de memória para upgrade de servidor poweredge r650 dell 32gb - 2rx4 ddr4 rdimm 3200 mt/s 8 gb base, incluindo serviços de instalação, configuração e ativação.;47232.0;0.17791706846673094;0.9982208293153327;False;True;40.0;True;False;True
28;2025;Licitação Eletrônica - Estatal;Homologado;Contratação de empresa para Fornecimento em lote único de dois equipamentos MHO - Maestro Hiperscale Orchestrator - para ampliação e adequação da solução de firewall Checkpoint já em uso na Celepar, incluindo acessórios, softwares, licenças e suporte técnico, de forma a atender plenamente as características descritas no edital e seus anexos.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;164738917.0;114997627.0;2025-07-08;2025-07-31;TB_LICITACOES-2025.csv;contratação de empresa para fornecimento em lote único de dois equipamentos mho - maestro hiperscale orchestrator - para ampliação e adequação da solução de firewall checkpoint já em uso na celepar, incluindo acessórios, softwares, licenças e suporte técnico, de forma a atender plenamente as características descritas no edital e seus anexos.;49741290.0;30.194012990870885;0.6980598700912912;False;True;23.0;True;False;True
34;2025;Licitação Eletrônica - Estatal;Homologado;Prestação de serviços de processamento de dados, consultoria e impressão de documentos de cobrança para gestão de contratos de créditos decorrentes de financiamentos habitacionais, concedidos e/ou administrados pela COHAPAR, regidos pelas normas do Sistema Financeiro da Habitação - SFH e/ou Normas, Planos de Financiamentos e Programas Habitacionais da própria COHAPAR e outras funcionalidades e serviços, mediante fornecimento de SISTEMA INTEGRADO DE GESTÃO DE CRÉDITO IMOBILIÁRIO - SIGCI.;COHAPAR-Companhia de Habitação do Paraná;Menor Preço;417864968.0;409507669.0;2025-05-09;2025-05-19;TB_LICITACOES-2025.csv;prestação de serviços de processamento de dados, consultoria e impressão de documentos de cobrança para gestão de contratos de créditos decorrentes de financiamentos habitacionais, concedidos e/ou administrados pela cohapar, regidos pelas normas do sistema financeiro da habitação - sfh e/ou normas, planos de financiamentos e programas habitacionais da própria cohapar e outras funcionalidades e serviços, mediante fornecimento de sistema integrado de gestão de crédito imobiliário - sigci.;8357299.0;1.999999913847767;0.9800000008615223;False;True;10.0;True;False;True
42;2025;Licitação Eletrônica - Estatal;Fase Certame;Fornecimento de solucao integrada de gestao de conformidade com a LGPD, incluindo licenciamento de software na modalidade de subscricao pelo período de 60 meses com suporte tecnico e atualizacao de versoes, instalacão, treinamentos, servicos de implantacão da solucão, servicos especializados de governanca de dados pessoais tratados em meios físicos ou digitais, conforme especificacoes contidas neste Edital e seus anexos.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;;;2025-06-24;;TB_LICITACOES-2025.csv;fornecimento de solucao integrada de gestao de conformidade com a lgpd, incluindo licenciamento de software na modalidade de subscricao pelo período de 60 meses com suporte tecnico e atualizacao de versoes, instalacão, treinamentos, servicos de implantacão da solucão, servicos especializados de governanca de dados pessoais tratados em meios físicos ou digitais, conforme especificacoes contidas neste edital e seus anexos.;0.0;0.0;0.0;False;True;0.0;True;True;True
48;2025;Licitação Eletrônica - Estatal;Homologado;Registro de Preços para futura e eventual contratação de pessoa jurídica para fornecimento de empresa especializada, para o fornecimento de licenças perpétuas de solução de antivírus Kaspersky com suporte técnico por período, conforme as especificacoes, condicoes, quantidades e prazos descritos neste Termo de Referencia.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;3802000000.0;3790600000.0;2025-08-22;2025-09-12;TB_LICITACOES-2025.csv;registro de preços para futura e eventual contratação de pessoa jurídica para fornecimento de empresa especializada, para o fornecimento de licenças perpétuas de solução de antivírus kaspersky com suporte técnico por período, conforme as especificacoes, condicoes, quantidades e prazos descritos neste termo de referencia.;11400000.0;0.2998421883219358;0.9970015781167807;False;True;21.0;True;False;True
49;2025;Licitação Eletrônica - Estatal;Fase Certame;Contratação de pessoa jurídica para prestação de serviços técnicos especializados de desenvolvimento de software, por alocação de perfil profissional de TI vinculado ao alcance de resultados, sem dedicação exclusiva de mão de obra, sob demanda, conforme modalidade prevista na Portaria SGD/MGI n 750, de 2023 e alterações posteriores, e conforme condições, quantidades e exigências estabelecidas no edital e seus anexos.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;11553128208.0;;2025-09-29;;TB_LICITACOES-2025.csv;contratação de pessoa jurídica para prestação de serviços técnicos especializados de desenvolvimento de software, por alocação de perfil profissional de ti vinculado ao alcance de resultados, sem dedicação exclusiva de mão de obra, sob demanda, conforme modalidade prevista na portaria sgd/mgi n 750, de 2023 e alterações posteriores, e conforme condições, quantidades e exigências estabelecidas no edital e seus anexos.;0.0;0.0;0.0;False;True;0.0;True;True;True
50;2025;Licitação Eletrônica - Estatal;Homologado;Prestação de serviços de LOCAÇÃO DE EQUIPAMENTO MULTIFUNCIONAL PLOTTER COLORIDO, bem como instalação e configuração dos softwares necessários para operação, manutenção preventiva e corretiva, reposição de peças e de todo o material de consumo necessário ao perfeito funcionamento do equipamento, exceto papel.;COHAPAR-Companhia de Habitação do Paraná;Menor Preço;22977060.0;19479960.0;2025-07-11;2025-07-25;TB_LICITACOES-2025.csv;prestação de serviços de locação de equipamento multifuncional plotter colorido, bem como instalação e configuração dos softwares necessários para operação, manutenção preventiva e corretiva, reposição de peças e de todo o material de consumo necessário ao perfeito funcionamento do equipamento, exceto papel.;3497100.0;15.219962867312006;0.8478003713268799;False;True;14.0;True;False;True
51;2025;Licitação Eletrônica - Estatal;Homologado;Registro de Precos para futura e eventual contratacão de pessoa juridica para fornecimento de solucão hibrida, SaaS e aplicativo local, para protecão de e-mail e para protecão de endpoints, tablets, com Filtro de Conteudo WEB, Firewall de Host, Application Control e Prevencão de Ameacas Threat Prevention, do fabricante Check Point, incluindo softwares, licencas, treinamento e suporte tecnico, de forma a atender plenamente as caracteristicas descritas neste edital e seus anexos.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;17411324284.0;17403830284.0;2025-07-23;2025-08-18;TB_LICITACOES-2025.csv;registro de precos para futura e eventual contratacão de pessoa juridica para fornecimento de solucão hibrida, saas e aplicativo local, para protecão de e-mail e para protecão de endpoints, tablets, com filtro de conteudo web, firewall de host, application control e prevencão de ameacas threat prevention, do fabricante check point, incluindo softwares, licencas, treinamento e suporte tecnico, de forma a atender plenamente as caracteristicas descritas neste edital e seus anexos.;7494000.0;0.043040953564264794;0.9995695904643573;False;True;26.0;True;False;True
52;2025;Licitação Eletrônica - Estatal;Homologado;Contratação de empresa para fornecimento de switches de rede, incluindo equipamentos - hardware e software, garantia e suporte técnico por 60 meses, de forma a atender plenamente as características descritas no edital e seus anexos.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;49497395.0;25437400.0;2025-08-11;2025-08-29;TB_LICITACOES-2025.csv;contratação de empresa para fornecimento de switches de rede, incluindo equipamentos - hardware e software, garantia e suporte técnico por 60 meses, de forma a atender plenamente as características descritas no edital e seus anexos.;24059995.0;48.6086085944523;0.513913914055477;False;True;18.0;True;False;True
55;2025;Licitação Eletrônica - Estatal;Homologado;Contratação de empresa especializada para o fornecimento de subscrições de licenciamento para ampliação da Solução de Proteção de Veeam Backup e Replication já instalada na Celepar, incluindo serviços de suporte técnico, atualização de - releases - de software e garantia, conforme especificações técnicas descritas no Termo de Referência.;CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná;Menor Preço;410771666.0;166600000.0;2025-08-14;2025-09-01;TB_LICITACOES-2025.csv;contratação de empresa especializada para o fornecimento de subscrições de licenciamento para ampliação da solução de proteção de veeam backup e replication já instalada na celepar, incluindo serviços de suporte técnico, atualização de - releases - de software e garantia, conforme especificações técnicas descritas no termo de referência.;244171666.0;59.44218801108838;0.4055781198891162;False;True;18.0;True;False;True
