numprocesso,ano,orgao,modalidade,valor_total,lsl_cap,razao_vt_lsl,flag_irregular,participantes,vencedores,qtd_itens,excedente
73,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),97755081.68,650000.0,150.39243335384617,1,20,35,68.0,97105081.68
2176,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),97271345.08,650000.0,149.6482232,1,0,0,9.0,96621345.08
9,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),97090000.4,650000.0,149.3692313846154,1,21,138,627.0,96440000.4
817,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),93231446.0,650000.0,143.43299384615383,1,3,4,19.0,92581446.0
1147,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),93225000.0,650000.0,143.42307692307693,1,8,17,19.0,92575000.0
8,2023,SEED-Secretaria de Estado da Educação,Pregão Eletrônico (Lei Federal 14.133/2021),91182021.11,650000.0,140.28003247692308,1,20,56,68.0,90532021.11
1090,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),210364752.0,1500000.0,140.243168,1,2,10,35.0,208864752.0
715,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),86930985.97,650000.0,133.73997841538463,1,19,118,136.0,86280985.97
437,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),86809470.04,650000.0,133.55303083076925,1,6,8,8.0,86159470.04
93,2025,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),199280056.05,1500000.0,132.8533707,1,10,20,42.0,197780056.05
348,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),85535524.56,650000.0,131.5931147076923,1,3,7,116.0,84885524.56
178,2023,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico,84498000.0,650000.0,129.99692307692308,1,14,25,64.0,83848000.0
1026,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),82938793.92,650000.0,127.5981444923077,1,18,42,69.0,82288793.92
35,2025,FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),82546137.12,650000.0,126.99405710769231,1,9,28,57.0,81896137.12
20,2023,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Pública,188250000.0,1500000.0,125.5,1,17,28,100.0,186750000.0
174,2025,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),187324752.0,1500000.0,124.883168,1,2,2,13.0,185824752.0
129,2023,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),184693006.23,1500000.0,123.12867082,1,24,28,43.0,183193006.23
232,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),79607174.4,650000.0,122.472576,1,12,15,54.0,78957174.4
740,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),182400000.0,1500000.0,121.6,1,5,10,29.0,180900000.0
2228,2024,FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,Pregão Eletrônico (Lei Federal 14.133/2021),78371852.4,650000.0,120.57208061538462,1,0,0,1.0,77721852.4
1,2025,SEAB-Secretaria de Estado da Agricultura e do Abastecimento,Chamamento Público,77000000.0,650000.0,118.46153846153847,1,34,135,434.0,76350000.0
407,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),76015232.04,650000.0,116.94651083076924,1,20,42,52.0,75365232.04
1037,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),75504775.4,650000.0,116.16119292307694,1,6,8,11.0,74854775.4
1169,2023,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico,75320000.0,650000.0,115.87692307692308,1,12,19,26.0,74670000.0
1169,2023,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico,75320000.0,650000.0,115.87692307692308,1,12,19,26.0,74670000.0
2191,2024,SEED-Secretaria de Estado da Educação,Pregão Eletrônico (Lei Federal 14.133/2021),74711520.0,650000.0,114.9408,1,0,0,1.0,74061520.0
404,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),74173308.0,650000.0,114.11278153846153,1,22,37,40.0,73523308.0
457,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),73389129.0,650000.0,112.9063523076923,1,23,54,61.0,72739129.0
493,2023,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico,72438000.0,650000.0,111.44307692307693,1,7,12,29.0,71788000.0
172,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico,71374762.13,650000.0,109.80732635384615,1,22,43,53.0,70724762.13
592,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),71172700.8,650000.0,109.49646276923076,1,4,11,49.0,70522700.8
487,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico,69348100.0,650000.0,106.68938461538461,1,23,26,73.0,68698100.0
107,2024,CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,Licitação Eletrônica - Estatal,69326822.34,650000.0,106.65664975384615,1,6,3,101.0,68676822.34
33,2025,UEPG-HURCG-Hospital Universitário Regional dos Campos Gerais,Credenciamento,68498304.0,650000.0,105.38200615384615,1,18,33,59.0,67848304.0
521,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),67583750.0,650000.0,103.975,1,11,14,17.0,66933750.0
19,2025,UEPG-HURCG-Hospital Universitário Regional dos Campos Gerais,Credenciamento,65351160.0,650000.0,100.54024615384616,1,10,22,48.0,64701160.0
156,2025,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),65117446.8,650000.0,100.18068738461538,1,9,94,118.0,64467446.8
219,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),148900000.0,1500000.0,99.26666666666667,1,20,25,67.0,147400000.0
169,2023,UNIOESTE HUOP-Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná,Pregão Eletrônico (Lei Federal 14.133/2021),63773705.04,650000.0,98.11339236923077,1,7,5,18.0,63123705.04
228,2025,SESP-Secretaria de Estado da Segurança Pública,Pregão Eletrônico (Lei Federal 14.133/2021),63719530.0,650000.0,98.03004615384616,1,17,57,68.0,63069530.0
299,2024,SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE,Pregão Eletrônico (Lei Federal 14.133/2021),63675264.0,650000.0,97.96194461538461,1,8,12,97.0,63025264.0
133,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),63399003.0,650000.0,97.53692769230769,1,6,11,14.0,62749003.0
1277,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),62959650.0,650000.0,96.861,1,0,0,3.0,62309650.0
1034,2025,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),62843763.9,650000.0,96.68271369230769,1,11,21,42.0,62193763.9
310,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico,62197995.6,650000.0,95.689224,1,20,32,56.0,61547995.6
1865,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),62020000.0,650000.0,95.41538461538461,1,3,8,8.0,61370000.0
1827,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),59395104.18,650000.0,91.37708335384616,1,0,0,4.0,58745104.18
147,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),58557712.28,650000.0,90.08878812307692,1,11,14,14.0,57907712.28
27,2023,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Pública,131792989.44,1500000.0,87.86199296,1,15,45,56.0,130292989.44
1417,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),57028050.63,650000.0,87.73546250769232,1,7,12,11.0,56378050.63
796,2023,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),56651474.0,650000.0,87.15611384615384,1,5,22,40.0,56001474.0
968,2023,SESP-Secretaria de Estado da Segurança Pública,Pregão Eletrônico (Lei Federal 14.133/2021),56420238.11,650000.0,86.80036632307693,1,1,1,25.0,55770238.11
196,2024,DEPPEN-Departamento de Polícia Penal - SESP (Antigo DEPEN),Pregão Eletrônico (Lei Federal 14.133/2021),56360055.15,650000.0,86.70777715384615,1,10,16,30.0,55710055.15
6,2025,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),55347425.0,650000.0,85.14988461538462,1,22,56,146.0,54697425.0
248,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),55139500.0,650000.0,84.83,1,12,22,21.0,54489500.0
177,2024,DEPPEN-Departamento de Polícia Penal - SESP (Antigo DEPEN),Pregão Eletrônico (Lei Federal 14.133/2021),55046777.85,650000.0,84.68735053846154,1,9,13,34.0,54396777.85
528,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),54969273.0,650000.0,84.5681123076923,1,5,7,7.0,54319273.0
282,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),54181641.96,650000.0,83.35637224615385,1,5,10,23.0,53531641.96
1104,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),53847046.6,650000.0,82.84161015384616,1,3,5,6.0,53197046.6
948,2025,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),52239664.32,650000.0,80.36871433846154,1,2,3,28.0,51589664.32
2,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),120459821.9,1500000.0,80.30654793333333,1,31,155,206.0,118959821.9
4,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),120459821.9,1500000.0,80.30654793333333,1,18,37,113.0,118959821.9
26,2024,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),120459821.9,1500000.0,80.30654793333333,1,16,43,72.0,118959821.9
719,2023,SESP-Secretaria de Estado da Segurança Pública,Pregão Eletrônico (Lei Federal 14.133/2021),52187053.95,650000.0,80.28777530769231,1,6,9,76.0,51537053.95
674,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),52038878.4,650000.0,80.05981292307692,1,8,11,13.0,51388878.4
20,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),51527149.88,650000.0,79.27253827692309,1,17,28,100.0,50877149.88
207,2024,IAT-Instituto Água e Terra (Antigo IAP),Concorrência Eletrônica (Lei Federal 14.133/2021),118447000.0,1500000.0,78.96466666666667,1,10,14,33.0,116947000.0
612,2025,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),50866350.9,650000.0,78.25592446153846,1,23,54,71.0,50216350.9
986,2025,TCEPR-Tribunal do Contas do Estado do Paraná,Pregão Eletrônico (Lei Federal 14.133/2021),50486760.0,650000.0,77.67193846153846,1,4,4,13.0,49836760.0
2,2023,SECOM-Secretaria de Estado da Comunicação,Concorrência Presencial (Lei Federal 14.133/2021),50000000.0,650000.0,76.92307692307692,1,31,155,206.0,49350000.0
50,2025,FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),49961158.32,650000.0,76.8633204923077,1,17,33,122.0,49311158.32
809,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),49686000.0,650000.0,76.44,1,5,6,6.0,49036000.0
72,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),49507741.8,650000.0,76.16575661538461,1,10,19,63.0,48857741.8
325,2025,SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE,Pregão Eletrônico (Lei Federal 14.133/2021),49369116.48,650000.0,75.95248689230769,1,2,7,15.0,48719116.48
57,2025,DER-Departamento de Estradas de Rodagem do Estado do Paraná,Concorrência Eletrônica (Lei Federal 14.133/2021),48881552.64,650000.0,75.20238867692308,1,10,38,75.0,48231552.64
137,2025,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),48376230.08,650000.0,74.42496935384615,1,33,35,51.0,47726230.08
871,2024,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico (Lei Federal 14.133/2021),47483355.6,650000.0,73.0513163076923,1,9,17,30.0,46833355.6
280,2024,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),47200231.92,650000.0,72.61574141538462,1,23,49,56.0,46550231.92
45,2023,AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC),Concorrência Eletrônica (Lei Federal 14.133/2021),107611706.56,1500000.0,71.74113770666666,1,39,86,101.0,106111706.56
359,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico,46620000.0,650000.0,71.72307692307692,1,2,2,3.0,45970000.0
139,2024,UEPG-Universidade Estadual de Ponta Grossa,Concorrência Eletrônica (Lei Federal 14.133/2021),107060000.0,1500000.0,71.37333333333333,1,9,11,124.0,105560000.0
2183,2024,CASA MILITAR-Casa Militar do Estado do Paraná,Pregão Eletrônico (Lei Federal 14.133/2021),46383404.56,650000.0,71.35908393846154,1,2,2,2.0,45733404.56
1267,2024,FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional,Pregão Eletrônico (Lei Federal 14.133/2021),45900000.0,650000.0,70.61538461538461,1,2,4,5.0,45250000.0
28,2025,UEPG-HURCG-Hospital Universitário Regional dos Campos Gerais,Credenciamento,45721468.2,650000.0,70.34072030769231,1,20,41,74.0,45071468.2
479,2024,SEED-Secretaria de Estado da Educação,Pregão Eletrônico (Lei Federal 14.133/2021),45717948.0,650000.0,70.33530461538462,1,7,12,14.0,45067948.0
1140,2023,CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,Pregão Eletrônico,45715011.6,650000.0,70.33078707692307,1,2,2,4.0,45065011.6
1092,2025,SESA-Secretaria de Estado da Saúde,Pregão Eletrônico (Lei Federal 14.133/2021),45658831.92,650000.0,70.2443568,1,2,2,20.0,45008831.92
1154,2024,CBMPR-Corpo de Bombeiros Militar do Paraná (Antigo PMPR-CCB),Pregão Eletrônico (Lei Federal 14.133/2021),45656702.75,650000.0,70.24108115384615,1,1,1,9.0,45006702.75
74,2023,DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),Pregão Eletrônico,45151499.75,650000.0,69.46384576923077,1,9,16,41.0,44501499.75
